gene_id,gene_symbol,kegg_ortholog
WP_014950541.1,arcB,arcB
WP_049586194.1,aldo,K01623
WP_049588591.1,aldA,K07248
WP_049586098.1,grhpr,K00049
WP_039227754.1,glyr,K18121
WP_049586098.1,ghrB,K00090
WP_049586436.1,hprA,K00018
WP_049586233.1,gyaR,K00015
WP_014949660.1,hoga1,K18123
WP_049588801.1,guaD,K01487
WP_012516884.1,czcC,K15725
WP_012516886.1,czcA,K15726
WP_049587474.1,czcB,K15727
WP_039229202.1,czcD,K16264
HBN98087.1,amdhd1,K01468
WP_049589033.1,hutG,K01479
WP_049589036.1,hal,K01745
WP_049589035.1,uroc1,K01712
WP_049588866.1,cbs,K01697
WP_049588336.1,cat,K03781
WP_014977393.1,katG,K03782
WP_049585711.1,ip87,ip87
WP_014950158.1,guaB,K00088
WP_049588174.1,iolX,K16043
WP_049588309.1,iolD,K03336
WP_020744244.1,iolA,K00140
WP_049587537.1,iolM,K22231
WP_049588908.1,iolO,K22233
WP_014947786.1,acadM,K00249
WP_049589161.1,acadS,K00248
WP_049586522.1,acadSB,K09478
WP_049588754.1,hadh,K00022
WP_049588707.1,hsd17B10,K08683
WP_049588521.1,fadB2,K01825
VTP51252.1,fadJ2,K01782
WP_049585851.1,hadhB,K07509
WP_049587537.1,lada,K25880
WP_014949725.1,dcxR,K03331
WP_014977810.1,araC,K13875
WP_014948685.1,pah,K00500
WP_049589036.1,pal,K10775
WP_014949228.1,hcaB,K05711
WP_049588590.1,mhpC,K05714
WP_014977809.1,sds,K17989
WP_049586260.1,sdsA,K01752
WP_049586389.1,lacG,K01220
WP_049585659.1,lampul1_gh16,lampul1
WP_014951139.1,lampul1_tbdr,lampul1tbdr
WP_049586390.1,lampul2_tbdr,lampul2tbdr
WP_049585649.1,lampul1_gh1,lampul1gh1
WP_049585652.1,lampul1_gh3,lampul1gh3
WP_049586389.1,lampul2_gh1,lampul2gh1
WP_049585650.1,lampul1_mfs1,lampul1mfs1
WP_049585647.1,lampul1_mfs2,lampul1mfs2
WP_049586387.1,lampul2_mfs,lampul2mfs
WP_014977687.1,lampul1_reg,lampul1reg
WP_049585657.1,lampul1_dgc,lampul1dgc
WP_049585654.1,lampul1_trans,lampul1trans
WP_049586522.1,ivd,K00253
WP_049586517.1,mccc1,K01968
WP_049586521.1,mccc2,K01969
WP_049586519.1,liuC,K13766
WP_049587155.1,ldcC,K01582
WP_049588781.1,patA,K09251
WP_014950684.1,prr,K00137
WP_014949262.1,davA,K01506
WP_049586522.1,gcdH,K00252
WP_014976911.1,crt,K01715
WP_049588754.1,hbd2,K15016
WP_049588521.1,fadB22,K01825
WP_049588754.1,hbd22,K15016
WP_197047972.1,lat,K03918
WP_049585722.1,lysDH2,K19064
WP_049585722.1,lysDH,K19064
WP_080760048.1,racX,K25316
WP_049588368.1,alr,K25317
WP_049588368.1,alr1,K20707
WP_049587284.1,dat,K00824
WP_049588112.1,amaA,K26065
WP_049588781.1,gabT3,K26062
WP_014977981.1,pgmB,K01838
WP_014977981.1,hxpA,K19270
WP_049587310.1,hxpB,K24204
KHT61264.1,manA,K01809
WP_049586730.1,algA,K16011
WP_049589075.1,galA,K07407
WP_080986400.1,mp1,mp1
WP_049588752.1,mp2,mp2
WP_039225122.1,mp3A,mp3A
WP_049587665.1,mp13,mp13
WP_049587604.1,mp14D,mp14D
WP_049588972.1,mp15,mp15
WP_049585854.1,mp16A,mp16A
WP_049585814.1,mp16B,mp16B
WP_053103828.1,mp17,mp17
WP_049586049.1,mp19,mp19
WP_049586563.1,mp20A,mp20A
WP_049588340.1,mp20D,mp20D
WP_049588841.1,mp20X,mp20X
WP_049588114.1,mp23B,mp23B
WP_049585982.1,mp24A,mp24A
WP_049588523.1,mp24B,mp24B
WP_049587523.1,mp28A,mp28A
WP_014948778.1,mp28D,mp28D
WP_049585838.1,mp28E,mp28E
WP_049588801.1,mp38,mp38
WP_014949365.1,mp41,mp41
WP_014949664.1,mp48C,mp48C
WP_049587050.1,mp49,mp49
WP_049585985.1,mp50B,mp50B
WP_049587878.1,mp56,mp56
WP_049586243.1,mp61,mp61
WP_049586187.1,metK,K00789
WP_014950659.1,ahcY,K01251
WP_049588091.1,prpC,K01659
WP_049588093.1,acnD,K20455
WP_049588095.1,prpF,K09788
WP_049587064.1,acnB,K01682
WP_049588089.1,prpB,K03417
WP_049586521.1,accD6,K18472
WP_049587671.1,pycB,K03416
WP_049587488.1,hynL,hynL
WP_012516857.1,hynS,hynS
WP_049586997.1,nasB,K00361
WP_049586997.1,nasD,K26139
WP_039227383.1,nirA,K00366
WP_049585962.1,nrfE,K04016
VTO38239.1,folA,K00287
WP_049588769.1,folM,K13938
VTO38239.1,dhfrA1,K18589
VTO38239.1,dhfrA12,K18590
VTO38239.1,dfrD,K18591
WP_014979424.1,pf1,K00601
WP_049585742.1,purNH,K01492
WP_014979424.1,purN,K11175
WP_049585742.1,purH,K00602
WP_049588561.1,purU,K01433
WP_039228916.1,fmt,K00604
WP_014950149.1,folD,K01491
VTP54519.1,mthfs,K01934
WP_014950149.1,mtdA,K00300
WP_049588376.1,glyA,K00600
WP_014950980.1,metF,K00297
WP_049588027.1,metH,K00548
WP_014948183.1,thyA,K00560
WP_197047979.1,pqqadh,pqqadh
WP_014948731.1,pqqadh2,pqqadh2
WP_049587342.1,znadh,znadh
WP_049586860.1,feadh,feadh
WP_049588907.1,feadh2,feadh2
WP_049586907.1,feadh3,feadh3
WP_049586019.1,gshfdh,K00121
WP_049588737.1,fgh,K01070
WP_039226879.1,speC,K01581
WP_049588112.1,puuB,K09471
WP_014950281.1,puuC,K09472
WP_014951193.1,ndh,K03885
WP_049586160.1,fbcH,K00410
WP_049586157.1,petA,K00411
WP_049586160.1,petB,K00412
WP_015066276.1,petC,K00413
WP_039220102.1,ccoP,K00406
WP_049585524.1,cox10;ctaB;cyoE,K02257
WP_049588444.1,cox11,K02258
WP_049588465.1,cox15,K02259
WP_080986445.1,coxB,K02275
WP_049585518.1,cyoA,K02297
WP_049585520.1,cyoB,K02298
WP_049585522.1,cyoC,K02299
WP_012520077.1,cyoD,K02300
WP_049585518.1,qoxA,K02826
WP_049585520.1,qoxB,K02827
WP_049585522.1,qoxC,K02828
WP_049586056.1,soxD,K24007
WP_014951450.1,atpA,K02111
WP_014951449.1,atpD,K02112
WP_012520217.1,atpG,K02115
WP_015000145.1,atpH,K02113
WP_014951448.1,atpC,K02114
WP_012520223.1,atpB,K02108
WP_014951452.1,atpF,K02109
WP_012520222.1,atpE,K02110
WP_014951449.1,ntpB,K02118
WP_049586746.1,appB,K00426
WP_049586745.1,appC,K00425
WP_049586918.1,pec1,K01051
WP_049586928.1,pecpul1_ce12,pecpul1ce12
WP_049586918.1,pecpul1_ce8,pecpul1ce8
WP_049585510.1,pecpul2_PL1/CE8,pecpul2pl1ce8
VTP53489.1,pecpul1_gh28,pecpul1gh28
WP_049585514.1,pecpul2_pl1,pecpul2pl1
WP_014949881.1,pecpul1_tbdr,pecpul1tbdr
WP_049585512.1,pecpul2_tbdr,pecpul2tbdr
WP_049586926.1,pecpul1_gh105,pecpul1gh105
WP_049587907.1,pec3,K01184
WP_014976833.1,pecpul1_TRAPT1,pecpul1trapt1
WP_014949872.1,pecpul1_TRAPT2,pecpul1trapt2
WP_049589019.1,pecpul1_TRAPT3,pecpul1trapt3
WP_049589017.1,pecpul1_uxaC,pecpul1uxac
WP_049589016.1,pecpul1_uxuB,pecpul1uxab
WP_049589018.1,pecpul1_uxaA,pecpul1uxaa
VTP53443.1,pecpul1_kduI,pecpul1kdui
WP_014976831.1,pecpul1_kduD,pecpul1kdud
WP_049589015.1,pecpul1_kdgK,pecpul1kdgk
WP_197047980.1,ogl,K01730
WP_014949867.1,pecpul1_hp,pecpul1hp
WP_049589020.1,pecpul1_unknown,pecpul1unknown
WP_014979614.1,pecpul1_eda,pecpul1eda
VTP56368.1,pecpul2_reg,pecpul2reg
WP_014949874.1,pecpul1_reg,pecpul1reg
WP_049587589.1,zwf,K00036
WP_014998709.1,gnd,K00033
WP_049588761.1,hps-phi,K13831
WP_049588788.1,rpe,K01783
WP_049586099.1,rpiA,K01807
WP_049588488.1,rpiB,K01808
WP_049586189.1,tkt,K00615
WP_039226298.1,tal,K00616
WP_039228347.1,pldA,K01058
WP_014976917.1,tgl4,K14674
VTP52826.1,capV,K06900
WP_039231048.1,pldB,K01048
WP_049586851.1,tesA,K10804
WP_014976407.1,aspG,K13278
WP_049588313.1,glpQ,K01126
WP_049587146.1,betT,betT
VTP51098.1,tetR,tetR
WP_014950281.1,betB,betB
WP_049587147.1,betA,betA
WP_014980177.1,etaGA,etaGA
WP_049588591.1,GAADDH,GAADDH
WP_049586860.1,GETAADH,GETAADH
WP_014948076.1,psd,K01613
WP_014950183.1,suhB,K01092
WP_014950183.1,impl2,K18649
WP_049586079.1,pilA,K02650
WP_049586077.1,pilC,K02653
WP_049586076.1,pilD,K02654
WP_049588935.1,pilF,K02656
WP_049588775.1,pilQ,K02666
WP_014948034.1,pilP,K02665
WP_014948035.1,pilO,K02664
WP_049588774.1,pilN,K02663
WP_049588773.1,pilM,K02662
WP_080590400.1,pilV,K02671
WP_014950126.1,pilW,K02672
WP_014950125.1,pilX,K02673
WP_049586579.1,pilY1,K02674
WP_014950123.1,pilE,K02655
WP_049588594.1,nahAa,K14581
WP_014949228.1,nahB,K14582
WP_049585722.1,nahF,K00152
WP_014949660.1,pahERO,pahERO
WP_049587341.1,putA,K13821
WP_049587341.1,prodH,K00318
WP_049586037.1,proC,K00286
WP_049589161.1,bcd,K00248
WP_049588809.1,ade2,K21053
WP_049588800.1,puuD2,puuD2
WP_049588800.1,pucL,K16838
WP_014976192.1,uraH,K07127
WP_049588802.1,hpxQ,K16840
WP_049588806.1,hpxB,K16842
WP_049588841.1,uah,K18151
WP_049588841.1,allC,K02083
WP_049589092.1,ucard,K24871
WP_049588842.1,pucG,K00839
WP_012519580.1,preT,K17722
WP_039229281.1,pydC,K01431
WP_049588841.1,pydC2,K06016
WP_049586948.1,rutA,K09018
WP_014950775.1,rutF,K09024
VTP55439.1,rutB,K09020
VTO41005.1,rutC,K09021
WP_197047984.1,rutD,K09023
WP_049586946.1,rutE,K09019
WP_049585490.1,aam3,K19795
WP_049586089.1,pdhD,K00382
WP_049586087.1,pdhC,K00627
WP_049588309.1,ilvI,K01652
WP_014975513.1,ilvN,K01653
WP_049586784.1,eutD,K04020
WP_014950684.1,aldB,K00138
WP_049587341.1,aldH,K14519
WP_049586525.1,atoB;acat,K00626
WP_049587271.1,alt,K00814
WP_049587271.1,alaA,K14260
WP_049586784.1,ptb,K00634
WP_049588588.1,mhpF,K04073
WP_049588588.1,tesF,K18366
WP_080986362.1,adh;akr1A1,K00002
WP_049588854.1,ahr,K12957
WP_049587342.1,yahK,K13979
WP_049586907.1,bdhB,bdhB
WP_049587537.1,bdhA,bdhA
WP_049586958.1,fabV;ter,K00209
WP_049587342.1,adhP,adhP
WP_049588588.1,bphJ;xylQ;nahO;tesF,K18366
WP_049587342.1,adhP,K13953
WP_049586860.1,yiaY,K13954
WP_049586860.1,adh,K00001
WP_049586019.1,frmA;adh5;adhC,K00121
WP_049586860.1,eutG,K04022
WP_014951396.1,ilvC,K00053
WP_014977810.1,ilvD,K01687
WP_049586233.1,ldhA,K03778
WP_014947829.1,scpC,K22214
WP_039227752.1,acrC,K20143
WP_049587537.1,bdh,K00004
WP_014976326.1,butA;budC,K03366
WP_049588500.1,budC,K18009
WP_049587907.1,rhgA,K18580
WP_049586926.1,yesR,K15532
WP_012517705.1,csrA,K03563
WP_014948157.1,rpoS,K03087
WP_014948649.1,fliA,K02405
WP_049588410.1,ebfE,ebfE
WP_049586770.1,pteB,pteB
WP_049588105.1,xlyAB,K01447
WP_049585701.1,amiABC,K01448
WP_049586083.1,ampD,K03806
WP_049586881.1,sle1,K22409
WP_049588504.1,rhaM,K03534
WP_049588489.1,rhaA2,K01820
WP_014976326.1,lra1,K18337
WP_049587022.1,lra2,K18338
WP_014975676.1,lra3,K12661
WP_014976326.1,lra5,K21883
OES33149.1,sp1C,sp1C
WP_049586340.1,sp8A,sp8A
WP_049587737.1,sp9A,sp9A
WP_049588953.1,sp9B,sp9B
WP_049586201.1,sp9C,sp9C
WP_049588958.1,sp9X,sp9X
VTP53626.1,sp10,sp10
WP_014949348.1,sp11,sp11
WP_049587951.1,sp12,sp12
WP_014950147.1,sp14,sp14
WP_049588705.1,sp16,sp16
WP_014951387.1,sp24,sp24
WP_014950104.1,sp26A,sp26A
WP_049586806.1,sp33,sp33
WP_049586281.1,sp41A,sp41A
WP_049586228.1,sp45,sp45
WP_049588949.1,sp46,sp46
WP_014949339.1,sp49A,sp49A
WP_049586230.1,sp49B,sp49B
WP_014978798.1,sp51,sp51
WP_049587538.1,sp54,sp54
WP_049586331.1,asbF,K15652
WP_049586310.1,asbA,K24108
WP_049586324.1,asbB,K24109
WP_049586326.1,asbC,K24110
WP_049586329.1,asbD,K24111
WP_049586329.1,asbE,K24112
WP_049587537.1,gutB,K00008
WP_049585734.1,scrK,K00847
WP_014976326.1,srlD,K00068
WP_049586025.1,pgi,K01810
WP_049586874.1,gtfA,K00690
WP_015066066.1,gtd1,K26059
WP_024015575.1,a3k,K26288
WP_049585469.1,yihQ2,K15922
WP_039218556.1,yihV,yihV
WP_085929484.1,yihU,yihU
WP_049585469.1,yihQ,yihQ
WP_049586387.1,yihP,yihP
WP_049586387.1,yihO,yihO
WP_049586810.1,SQ-DH,SQDH
WP_014977810.1,SG-DH,SGDH
WP_049585722.1,slaB,slaB
WP_049586189.1,sqwG,sqwG
WP_049586605.1,sqwH,sqwH
WP_049588907.1,sqwF,sqwF
WP_049586246.1,sqiK,sqiK
WP_014951132.1,emp2reg,emp2reg
WP_049588765.1,squF,squF
WP_014949874.1,asmoreg,asmoreg
WP_014977894.1,gcat,K00639
WP_049588717.1,ilvA,K01754
WP_049587537.1,tdh,K00060
WP_014950969.1,tp1B,tp1B
WP_049586533.1,tp2,tp2
WP_014976719.1,tp3,tp3
WP_049587680.1,tdo2,K00453
WP_080986392.1,kynu,K01556
WP_014949721.1,tyrB,K00832
WP_014978916.1,hppD,K00457
WP_049588791.1,hmgA,K00451
WP_014975930.1,maiA,K01800
WP_049587676.1,faaH,K16171
WP_049586233.1,fldH,K23109
WP_039227752.1,acdA,K24016
WP_049587227.1,up32,up32
WP_049588410.1,up62,up62
WP_014951192.1,up73,up73
WP_049586236.1,hibch,K05605
WP_085929484.1,hibdh,K00020
WP_020744244.1,aldh6A1,K00140
WP_049588438.1,xylB,K00854
WP_049586189.1,tktA,K00615
WP_014975676.1,xad,K14275
WP_014977810.1,xylD,K22186
WP_049588500.1,xylB2,K22185
WP_049588174.1,xacA,K24442
