metabolite,cycle,x,y,conc_mmol
cpd00001_e0,2,1,1,1000.0
cpd00009_e0,2,1,1,1000.0
cpd00011_e0,2,1,1,1000.0
cpd00012_e0,2,1,1,1000.0
cpd00013_e0,2,1,1,1000.0
cpd00029_e0,2,1,1,1000.0
cpd00034_e0,2,1,1,1000.0
cpd00036_e0,2,1,1,1000.0
cpd00048_e0,2,1,1,1000.0
cpd00051_e0,2,1,1,1000.0
cpd00054_e0,2,1,1,1000.0
cpd00058_e0,2,1,1,1000.0
cpd00063_e0,2,1,1,1000.0
cpd00067_e0,2,1,1,1000.0
cpd00085_e0,2,1,1,1000.0
cpd00099_e0,2,1,1,1000.0
cpd00106_e0,2,1,1,1000.0
cpd00108_e0,2,1,1,1000.0
cpd00116_e0,2,1,1,1000.0
cpd00129_e0,2,1,1,1000.0
cpd00142_e0,2,1,1,1000.0
cpd00149_e0,2,1,1,1000.0
cpd00205_e0,2,1,1,1000.0
cpd00239_e0,2,1,1,1000.0
cpd00254_e0,2,1,1,1000.0
cpd00971_e0,2,1,1,1000.0
cpd09695_e0,2,1,1,1000.0
cpd10515_e0,2,1,1,1000.0
Cadmium[e],3,1,1,1000.0
HCO3[e],3,1,1,1000.0
Molybdenum[e],3,1,1,1000.0
Photon[e],3,1,1,0.0020934382497
Selenate[e],3,1,1,1000.0
cpd00001_e0,3,1,1,1000.0
cpd00009_e0,3,1,1,1000.0
cpd00011_e0,3,1,1,1000.0
cpd00012_e0,3,1,1,1000.0
cpd00013_e0,3,1,1,1000.0
cpd00029_e0,3,1,1,1000.0
cpd00034_e0,3,1,1,1000.0
cpd00036_e0,3,1,1,1000.0
cpd00048_e0,3,1,1,1000.0
cpd00051_e0,3,1,1,1000.0
cpd00054_e0,3,1,1,1000.0
cpd00058_e0,3,1,1,1000.0
cpd00063_e0,3,1,1,1000.0
cpd00067_e0,3,1,1,1000.0
cpd00085_e0,3,1,1,1000.0
cpd00099_e0,3,1,1,1000.0
cpd00106_e0,3,1,1,1000.0
cpd00108_e0,3,1,1,1000.0
cpd00116_e0,3,1,1,1000.0
cpd00129_e0,3,1,1,1000.0
cpd00142_e0,3,1,1,1000.0
cpd00149_e0,3,1,1,1000.0
cpd00205_e0,3,1,1,1000.0
cpd00239_e0,3,1,1,1000.0
cpd00254_e0,3,1,1,1000.0
cpd00971_e0,3,1,1,1000.0
cpd09695_e0,3,1,1,1000.0
cpd10515_e0,3,1,1,1000.0
Cadmium[e],4,1,1,1000.0
HCO3[e],4,1,1,1000.0
Molybdenum[e],4,1,1,1000.0
Photon[e],4,1,1,0.0031383638291
Selenate[e],4,1,1,1000.0
cpd00001_e0,4,1,1,1000.0
cpd00009_e0,4,1,1,1000.0
cpd00011_e0,4,1,1,1000.0
cpd00012_e0,4,1,1,1000.0
cpd00013_e0,4,1,1,1000.0
cpd00029_e0,4,1,1,1000.0
cpd00034_e0,4,1,1,1000.0
cpd00036_e0,4,1,1,1000.0
cpd00048_e0,4,1,1,1000.0
cpd00051_e0,4,1,1,1000.0
cpd00054_e0,4,1,1,1000.0
cpd00058_e0,4,1,1,1000.0
cpd00063_e0,4,1,1,1000.0
cpd00067_e0,4,1,1,1000.0
cpd00085_e0,4,1,1,1000.0
cpd00099_e0,4,1,1,1000.0
cpd00106_e0,4,1,1,1000.0
cpd00108_e0,4,1,1,1000.0
cpd00116_e0,4,1,1,1000.0
cpd00129_e0,4,1,1,1000.0
cpd00142_e0,4,1,1,1000.0
cpd00149_e0,4,1,1,1000.0
cpd00205_e0,4,1,1,1000.0
cpd00239_e0,4,1,1,1000.0
cpd00254_e0,4,1,1,1000.0
cpd00971_e0,4,1,1,1000.0
cpd09695_e0,4,1,1,1000.0
cpd10515_e0,4,1,1,1000.0
Cadmium[e],5,1,1,1000.0
HCO3[e],5,1,1,1000.0
Molybdenum[e],5,1,1,1000.0
Photon[e],5,1,1,0.0041811385307
Selenate[e],5,1,1,1000.0
cpd00001_e0,5,1,1,1000.0
cpd00009_e0,5,1,1,1000.0
cpd00011_e0,5,1,1,1000.0
cpd00012_e0,5,1,1,1000.0
cpd00013_e0,5,1,1,1000.0
cpd00029_e0,5,1,1,1000.0
cpd00034_e0,5,1,1,1000.0
cpd00036_e0,5,1,1,1000.0
cpd00048_e0,5,1,1,1000.0
cpd00051_e0,5,1,1,1000.0
cpd00054_e0,5,1,1,1000.0
cpd00058_e0,5,1,1,1000.0
cpd00063_e0,5,1,1,1000.0
cpd00067_e0,5,1,1,1000.0
cpd00085_e0,5,1,1,1000.0
cpd00099_e0,5,1,1,1000.0
cpd00106_e0,5,1,1,1000.0
cpd00108_e0,5,1,1,1000.0
cpd00116_e0,5,1,1,1000.0
cpd00129_e0,5,1,1,1000.0
cpd00142_e0,5,1,1,1000.0
cpd00149_e0,5,1,1,1000.0
cpd00205_e0,5,1,1,1000.0
cpd00239_e0,5,1,1,1000.0
cpd00254_e0,5,1,1,1000.0
cpd00971_e0,5,1,1,1000.0
cpd09695_e0,5,1,1,1000.0
cpd10515_e0,5,1,1,1000.0
Cadmium[e],6,1,1,1000.0
HCO3[e],6,1,1,1000.0
Molybdenum[e],6,1,1,1000.0
Photon[e],6,1,1,0.0052210476888
Selenate[e],6,1,1,1000.0
cpd00001_e0,6,1,1,1000.0
cpd00009_e0,6,1,1,1000.0
cpd00011_e0,6,1,1,1000.0
cpd00012_e0,6,1,1,1000.0
cpd00013_e0,6,1,1,1000.0
cpd00029_e0,6,1,1,1000.0
cpd00034_e0,6,1,1,1000.0
cpd00036_e0,6,1,1,1000.0
cpd00048_e0,6,1,1,1000.0
cpd00051_e0,6,1,1,1000.0
cpd00054_e0,6,1,1,1000.0
cpd00058_e0,6,1,1,1000.0
cpd00063_e0,6,1,1,1000.0
cpd00067_e0,6,1,1,1000.0
cpd00085_e0,6,1,1,1000.0
cpd00099_e0,6,1,1,1000.0
cpd00106_e0,6,1,1,1000.0
cpd00108_e0,6,1,1,1000.0
cpd00116_e0,6,1,1,1000.0
cpd00129_e0,6,1,1,1000.0
cpd00142_e0,6,1,1,1000.0
cpd00149_e0,6,1,1,1000.0
cpd00205_e0,6,1,1,1000.0
cpd00239_e0,6,1,1,1000.0
cpd00254_e0,6,1,1,1000.0
cpd00971_e0,6,1,1,1000.0
cpd09695_e0,6,1,1,1000.0
cpd10515_e0,6,1,1,1000.0
Cadmium[e],7,1,1,1000.0
HCO3[e],7,1,1,1000.0
Molybdenum[e],7,1,1,1000.0
Photon[e],7,1,1,0.0062573786016
Selenate[e],7,1,1,1000.0
cpd00001_e0,7,1,1,1000.0
cpd00009_e0,7,1,1,1000.0
cpd00011_e0,7,1,1,1000.0
cpd00012_e0,7,1,1,1000.0
cpd00013_e0,7,1,1,1000.0
cpd00029_e0,7,1,1,1000.0
cpd00034_e0,7,1,1,1000.0
cpd00036_e0,7,1,1,1000.0
cpd00048_e0,7,1,1,1000.0
cpd00051_e0,7,1,1,1000.0
cpd00054_e0,7,1,1,1000.0
cpd00058_e0,7,1,1,1000.0
cpd00063_e0,7,1,1,1000.0
cpd00067_e0,7,1,1,1000.0
cpd00085_e0,7,1,1,1000.0
cpd00099_e0,7,1,1,1000.0
cpd00106_e0,7,1,1,1000.0
cpd00108_e0,7,1,1,1000.0
cpd00116_e0,7,1,1,1000.0
cpd00129_e0,7,1,1,1000.0
cpd00142_e0,7,1,1,1000.0
cpd00149_e0,7,1,1,1000.0
cpd00205_e0,7,1,1,1000.0
cpd00239_e0,7,1,1,1000.0
cpd00254_e0,7,1,1,1000.0
cpd00971_e0,7,1,1,1000.0
cpd09695_e0,7,1,1,1000.0
cpd10515_e0,7,1,1,1000.0
Cadmium[e],8,1,1,1000.0
HCO3[e],8,1,1,1000.0
Molybdenum[e],8,1,1,1000.0
Photon[e],8,1,1,0.0072894210197
S_Adenosyl_4_methylthio_2_oxobutanoate[e],8,1,1,4.5964323781e-14
S_Methyl_5_thio_D_ribose[e],8,1,1,4.4950216693000004e-13
Selenate[e],8,1,1,1000.0
biomass[e],8,1,1,9.9971124592e-12
cpd00001_e0,8,1,1,1000.0
cpd00007_e0,8,1,1,5.7668534934e-10
cpd00009_e0,8,1,1,1000.0
cpd00011_e0,8,1,1,1000.0
cpd00012_e0,8,1,1,1000.0
cpd00013_e0,8,1,1,1000.0
cpd00025_e0,8,1,1,1.0980843041e-12
cpd00029_e0,8,1,1,1000.0
cpd00034_e0,8,1,1,1000.0
cpd00036_e0,8,1,1,1000.0
cpd00048_e0,8,1,1,1000.0
cpd00051_e0,8,1,1,1000.0
cpd00054_e0,8,1,1,1000.0
cpd00058_e0,8,1,1,1000.0
cpd00063_e0,8,1,1,1000.0
cpd00067_e0,8,1,1,1000.0
cpd00085_e0,8,1,1,1000.0
cpd00099_e0,8,1,1,1000.0
cpd00106_e0,8,1,1,1000.0
cpd00108_e0,8,1,1,1000.0
cpd00116_e0,8,1,1,1000.0
cpd00129_e0,8,1,1,1000.0
cpd00142_e0,8,1,1,1000.0
cpd00149_e0,8,1,1,1000.0
cpd00204_e0,8,1,1,8.3975744658e-17
cpd00205_e0,8,1,1,1000.0
cpd00229_e0,8,1,1,5.9538643008e-14
cpd00239_e0,8,1,1,1000.0
cpd00254_e0,8,1,1,1000.0
cpd00971_e0,8,1,1,1000.0
cpd09695_e0,8,1,1,1000.0
cpd10515_e0,8,1,1,1000.0
tRNA[e],8,1,1,5.1473712463e-15
Cadmium[e],9,1,1,1000.0
HCO3[e],9,1,1,1000.0
Molybdenum[e],9,1,1,1000.0
Photon[e],9,1,1,0.0083164676327
S_Adenosyl_4_methylthio_2_oxobutanoate[e],9,1,1,1.6169309846000002e-13
S_Methyl_5_thio_D_ribose[e],9,1,1,1.5812567695e-12
Selenate[e],9,1,1,1000.0
biomass[e],9,1,1,3.5167798768e-11
cpd00001_e0,9,1,1,1000.0
cpd00007_e0,9,1,1,2.028661216e-09
cpd00009_e0,9,1,1,1000.0
cpd00011_e0,9,1,1,1000.0
cpd00012_e0,9,1,1,1000.0
cpd00013_e0,9,1,1,1000.0
cpd00025_e0,9,1,1,3.8628361933e-12
cpd00029_e0,9,1,1,1000.0
cpd00034_e0,9,1,1,1000.0
cpd00036_e0,9,1,1,1000.0
cpd00048_e0,9,1,1,1000.0
cpd00051_e0,9,1,1,1000.0
cpd00054_e0,9,1,1,1000.0
cpd00058_e0,9,1,1,1000.0
cpd00063_e0,9,1,1,1000.0
cpd00067_e0,9,1,1,1000.0
cpd00085_e0,9,1,1,1000.0
cpd00099_e0,9,1,1,1000.0
cpd00106_e0,9,1,1,1000.0
cpd00108_e0,9,1,1,1000.0
cpd00116_e0,9,1,1,1000.0
cpd00129_e0,9,1,1,1000.0
cpd00142_e0,9,1,1,1000.0
cpd00149_e0,9,1,1,1000.0
cpd00204_e0,9,1,1,2.9540950965e-16
cpd00205_e0,9,1,1,1000.0
cpd00229_e0,9,1,1,2.0944477966000003e-13
cpd00239_e0,9,1,1,1000.0
cpd00254_e0,9,1,1,1000.0
cpd00971_e0,9,1,1,1000.0
cpd09695_e0,9,1,1,1000.0
cpd10515_e0,9,1,1,1000.0
tRNA[e],9,1,1,1.8107400203e-14
Cadmium[e],10,1,1,1000.0
HCO3[e],10,1,1,1000.0
Molybdenum[e],10,1,1,1000.0
Photon[e],10,1,1,0.0093378145542
S_Adenosyl_4_methylthio_2_oxobutanoate[e],10,1,1,3.4683681707e-13
S_Methyl_5_thio_D_ribose[e],10,1,1,3.3918458496e-12
Selenate[e],10,1,1,1000.0
biomass[e],10,1,1,7.5436042131e-11
cpd00001_e0,10,1,1,1000.0
cpd00007_e0,10,1,1,4.3515425566e-09
cpd00009_e0,10,1,1,1000.0
cpd00011_e0,10,1,1,1000.0
cpd00012_e0,10,1,1,1000.0
cpd00013_e0,10,1,1,1000.0
cpd00025_e0,10,1,1,8.2859059719e-12
cpd00029_e0,10,1,1,1000.0
cpd00034_e0,10,1,1,1000.0
cpd00036_e0,10,1,1,1000.0
cpd00048_e0,10,1,1,1000.0
cpd00051_e0,10,1,1,1000.0
cpd00054_e0,10,1,1,1000.0
cpd00058_e0,10,1,1,1000.0
cpd00063_e0,10,1,1,1000.0
cpd00067_e0,10,1,1,1000.0
cpd00085_e0,10,1,1,1000.0
cpd00099_e0,10,1,1,1000.0
cpd00106_e0,10,1,1,1000.0
cpd00108_e0,10,1,1,1000.0
cpd00116_e0,10,1,1,1000.0
cpd00129_e0,10,1,1,1000.0
cpd00142_e0,10,1,1,1000.0
cpd00149_e0,10,1,1,1000.0
cpd00204_e0,10,1,1,6.336627539e-16
cpd00205_e0,10,1,1,1000.0
cpd00229_e0,10,1,1,4.4926568554000003e-13
cpd00239_e0,10,1,1,1000.0
cpd00254_e0,10,1,1,1000.0
cpd00971_e0,10,1,1,1000.0
cpd09695_e0,10,1,1,1000.0
cpd10515_e0,10,1,1,1000.0
tRNA[e],10,1,1,3.8840946902e-14
Cadmium[e],11,1,1,1000.0
HCO3[e],11,1,1,1000.0
Molybdenum[e],11,1,1,1000.0
Photon[e],11,1,1,0.010352761804
S_Adenosyl_4_methylthio_2_oxobutanoate[e],11,1,1,6.0102638007e-13
S_Methyl_5_thio_D_ribose[e],11,1,1,5.8776598457e-12
Selenate[e],11,1,1,1000.0
biomass[e],11,1,1,1.3072156443e-10
cpd00001_e0,11,1,1,1000.0
cpd00007_e0,11,1,1,7.5406985123e-09
cpd00009_e0,11,1,1,1000.0
cpd00011_e0,11,1,1,1000.0
cpd00012_e0,11,1,1,1000.0
cpd00013_e0,11,1,1,1000.0
cpd00025_e0,11,1,1,1.4358475879e-11
cpd00029_e0,11,1,1,1000.0
cpd00034_e0,11,1,1,1000.0
cpd00036_e0,11,1,1,1000.0
cpd00048_e0,11,1,1,1000.0
cpd00051_e0,11,1,1,1000.0
cpd00054_e0,11,1,1,1000.0
cpd00058_e0,11,1,1,1000.0
cpd00063_e0,11,1,1,1000.0
cpd00067_e0,11,1,1,1000.0
cpd00085_e0,11,1,1,1000.0
cpd00099_e0,11,1,1,1000.0
cpd00106_e0,11,1,1,1000.0
cpd00108_e0,11,1,1,1000.0
cpd00116_e0,11,1,1,1000.0
cpd00129_e0,11,1,1,1000.0
cpd00142_e0,11,1,1,1000.0
cpd00149_e0,11,1,1,1000.0
cpd00204_e0,11,1,1,1.0980611412e-15
cpd00205_e0,11,1,1,1000.0
cpd00229_e0,11,1,1,7.785232575600001e-13
cpd00239_e0,11,1,1,1000.0
cpd00254_e0,11,1,1,1000.0
cpd00971_e0,11,1,1,1000.0
cpd09695_e0,11,1,1,1000.0
cpd10515_e0,11,1,1,1000.0
tRNA[e],11,1,1,6.7306677278e-14
Cadmium[e],12,1,1,1000.0
HCO3[e],12,1,1,1000.0
Molybdenum[e],12,1,1,1000.0
Photon[e],12,1,1,0.011360613788
S_Adenosyl_4_methylthio_2_oxobutanoate[e],12,1,1,9.238570700500001e-13
S_Methyl_5_thio_D_ribose[e],12,1,1,9.0347408764e-12
Selenate[e],12,1,1,1000.0
biomass[e],12,1,1,2.0093634075e-10
cpd00001_e0,12,1,1,1000.0
cpd00007_e0,12,1,1,1.1591051349e-08
cpd00009_e0,12,1,1,1000.0
cpd00011_e0,12,1,1,1000.0
cpd00012_e0,12,1,1,1000.0
cpd00013_e0,12,1,1,1000.0
cpd00025_e0,12,1,1,2.2070877246e-11
cpd00029_e0,12,1,1,1000.0
cpd00034_e0,12,1,1,1000.0
cpd00036_e0,12,1,1,1000.0
cpd00048_e0,12,1,1,1000.0
cpd00051_e0,12,1,1,1000.0
cpd00054_e0,12,1,1,1000.0
cpd00058_e0,12,1,1,1000.0
cpd00063_e0,12,1,1,1000.0
cpd00067_e0,12,1,1,1000.0
cpd00085_e0,12,1,1,1000.0
cpd00099_e0,12,1,1,1000.0
cpd00106_e0,12,1,1,1000.0
cpd00108_e0,12,1,1,1000.0
cpd00116_e0,12,1,1,1000.0
cpd00129_e0,12,1,1,1000.0
cpd00142_e0,12,1,1,1000.0
cpd00149_e0,12,1,1,1000.0
cpd00204_e0,12,1,1,1.6878652623e-15
cpd00205_e0,12,1,1,1000.0
cpd00229_e0,12,1,1,1.196693256e-12
cpd00239_e0,12,1,1,1000.0
cpd00254_e0,12,1,1,1000.0
cpd00971_e0,12,1,1,1000.0
cpd09695_e0,12,1,1,1000.0
cpd10515_e0,12,1,1,1000.0
tRNA[e],12,1,1,1.0345926856000001e-13
Cadmium[e],13,1,1,1000.0
HCO3[e],13,1,1,1000.0
Molybdenum[e],13,1,1,1000.0
Photon[e],13,1,1,0.012360679775
S_Adenosyl_4_methylthio_2_oxobutanoate[e],13,1,1,1.3148928779e-12
S_Methyl_5_thio_D_ribose[e],13,1,1,1.2858825047e-11
Selenate[e],13,1,1,1000.0
biomass[e],13,1,1,2.8598554032e-10
cpd00001_e0,13,1,1,1000.0
cpd00007_e0,13,1,1,1.6497130737e-08
cpd00009_e0,13,1,1,1000.0
cpd00011_e0,13,1,1,1000.0
cpd00012_e0,13,1,1,1000.0
cpd00013_e0,13,1,1,1000.0
cpd00025_e0,13,1,1,3.1412693846e-11
cpd00029_e0,13,1,1,1000.0
cpd00034_e0,13,1,1,1000.0
cpd00036_e0,13,1,1,1000.0
cpd00048_e0,13,1,1,1000.0
cpd00051_e0,13,1,1,1000.0
cpd00054_e0,13,1,1,1000.0
cpd00058_e0,13,1,1,1000.0
cpd00063_e0,13,1,1,1000.0
cpd00067_e0,13,1,1,1000.0
cpd00085_e0,13,1,1,1000.0
cpd00099_e0,13,1,1,1000.0
cpd00106_e0,13,1,1,1000.0
cpd00108_e0,13,1,1,1000.0
cpd00116_e0,13,1,1,1000.0
cpd00129_e0,13,1,1,1000.0
cpd00142_e0,13,1,1,1000.0
cpd00149_e0,13,1,1,1000.0
cpd00204_e0,13,1,1,2.4022785386999998e-15
cpd00205_e0,13,1,1,1000.0
cpd00229_e0,13,1,1,1.7032109082e-12
cpd00239_e0,13,1,1,1000.0
cpd00254_e0,13,1,1,1000.0
cpd00971_e0,13,1,1,1000.0
cpd09695_e0,13,1,1,1000.0
cpd10515_e0,13,1,1,1000.0
tRNA[e],13,1,1,1.4724989372e-13
Cadmium[e],14,1,1,1000.0
HCO3[e],14,1,1,1000.0
Molybdenum[e],14,1,1,1000.0
Photon[e],14,1,1,0.013352274369
S_Adenosyl_4_methylthio_2_oxobutanoate[e],14,1,1,1.7736663373e-12
S_Methyl_5_thio_D_ribose[e],14,1,1,1.7345340831e-11
Selenate[e],14,1,1,1000.0
biomass[e],14,1,1,3.8576749055e-10
cpd00001_e0,14,1,1,1000.0
cpd00007_e0,14,1,1,2.225307167e-08
cpd00009_e0,14,1,1,1000.0
cpd00011_e0,14,1,1,1000.0
cpd00012_e0,14,1,1,1000.0
cpd00013_e0,14,1,1,1000.0
cpd00025_e0,14,1,1,4.2372757947e-11
cpd00029_e0,14,1,1,1000.0
cpd00034_e0,14,1,1,1000.0
cpd00036_e0,14,1,1,1000.0
cpd00048_e0,14,1,1,1000.0
cpd00051_e0,14,1,1,1000.0
cpd00054_e0,14,1,1,1000.0
cpd00058_e0,14,1,1,1000.0
cpd00063_e0,14,1,1,1000.0
cpd00067_e0,14,1,1,1000.0
cpd00085_e0,14,1,1,1000.0
cpd00099_e0,14,1,1,1000.0
cpd00106_e0,14,1,1,1000.0
cpd00108_e0,14,1,1,1000.0
cpd00116_e0,14,1,1,1000.0
cpd00129_e0,14,1,1,1000.0
cpd00142_e0,14,1,1,1000.0
cpd00149_e0,14,1,1,1000.0
cpd00204_e0,14,1,1,3.2404469205999995e-15
cpd00205_e0,14,1,1,1000.0
cpd00229_e0,14,1,1,2.2974706944e-12
cpd00239_e0,14,1,1,1000.0
cpd00254_e0,14,1,1,1000.0
cpd00971_e0,14,1,1,1000.0
cpd09695_e0,14,1,1,1000.0
cpd10515_e0,14,1,1,1000.0
tRNA[e],14,1,1,1.9862620298e-13
Cadmium[e],15,1,1,1000.0
HCO3[e],15,1,1,1000.0
Molybdenum[e],15,1,1,1000.0
Photon[e],15,1,1,0.014334717982
S_Adenosyl_4_methylthio_2_oxobutanoate[e],15,1,1,2.2996783348e-12
S_Methyl_5_thio_D_ribose[e],15,1,1,2.2489407212e-11
Selenate[e],15,1,1,1000.0
biomass[e],15,1,1,5.0017363559e-10
cpd00001_e0,15,1,1,1000.0
cpd00007_e0,15,1,1,2.8852612086e-08
cpd00009_e0,15,1,1,1000.0
cpd00011_e0,15,1,1,1000.0
cpd00012_e0,15,1,1,1000.0
cpd00013_e0,15,1,1,1000.0
cpd00025_e0,15,1,1,5.4939145758e-11
cpd00029_e0,15,1,1,1000.0
cpd00034_e0,15,1,1,1000.0
cpd00036_e0,15,1,1,1000.0
cpd00048_e0,15,1,1,1000.0
cpd00051_e0,15,1,1,1000.0
cpd00054_e0,15,1,1,1000.0
cpd00058_e0,15,1,1,1000.0
cpd00063_e0,15,1,1,1000.0
cpd00067_e0,15,1,1,1000.0
cpd00085_e0,15,1,1,1000.0
cpd00099_e0,15,1,1,1000.0
cpd00106_e0,15,1,1,1000.0
cpd00108_e0,15,1,1,1000.0
cpd00116_e0,15,1,1,1000.0
cpd00129_e0,15,1,1,1000.0
cpd00142_e0,15,1,1,1000.0
cpd00149_e0,15,1,1,1000.0
cpd00204_e0,15,1,1,4.2014585388999994e-15
cpd00205_e0,15,1,1,1000.0
cpd00229_e0,15,1,1,2.9788261013e-12
cpd00239_e0,15,1,1,1000.0
cpd00254_e0,15,1,1,1000.0
cpd00971_e0,15,1,1,1000.0
cpd09695_e0,15,1,1,1000.0
cpd10515_e0,15,1,1,1000.0
tRNA[e],15,1,1,2.575323025e-13
Cadmium[e],16,1,1,1000.0
HCO3[e],16,1,1,1000.0
Molybdenum[e],16,1,1,1000.0
Photon[e],16,1,1,0.015307337295
S_Adenosyl_4_methylthio_2_oxobutanoate[e],16,1,1,2.8923978957e-12
S_Methyl_5_thio_D_ribose[e],16,1,1,2.8285831593e-11
Selenate[e],16,1,1,1000.0
biomass[e],16,1,1,6.2908848998e-10
cpd00001_e0,16,1,1,1000.0
cpd00007_e0,16,1,1,3.6289090184e-08
cpd00009_e0,16,1,1,1000.0
cpd00011_e0,16,1,1,1000.0
cpd00012_e0,16,1,1,1000.0
cpd00013_e0,16,1,1,999.99999999
cpd00025_e0,16,1,1,6.9099172341e-11
cpd00029_e0,16,1,1,1000.0
cpd00034_e0,16,1,1,1000.0
cpd00036_e0,16,1,1,1000.0
cpd00048_e0,16,1,1,1000.0
cpd00051_e0,16,1,1,1000.0
cpd00054_e0,16,1,1,1000.0
cpd00058_e0,16,1,1,1000.0
cpd00063_e0,16,1,1,1000.0
cpd00067_e0,16,1,1,1000.0
cpd00085_e0,16,1,1,1000.0
cpd00099_e0,16,1,1,1000.0
cpd00106_e0,16,1,1,1000.0
cpd00108_e0,16,1,1,1000.0
cpd00116_e0,16,1,1,1000.0
cpd00129_e0,16,1,1,1000.0
cpd00142_e0,16,1,1,1000.0
cpd00149_e0,16,1,1,1000.0
cpd00204_e0,16,1,1,5.284343315799999e-15
cpd00205_e0,16,1,1,1000.0
cpd00229_e0,16,1,1,3.7465893455e-12
cpd00239_e0,16,1,1,1000.0
cpd00254_e0,16,1,1,1000.0
cpd00971_e0,16,1,1,1000.0
cpd09695_e0,16,1,1,1000.0
cpd10515_e0,16,1,1,1000.0
tRNA[e],16,1,1,3.2390873043e-13
Cadmium[e],17,1,1,1000.0
HCO3[e],17,1,1,1000.0
Molybdenum[e],17,1,1,1000.0
Photon[e],17,1,1,0.016269465723
S_Adenosyl_4_methylthio_2_oxobutanoate[e],17,1,1,3.5512619509e-12
S_Methyl_5_thio_D_ribose[e],17,1,1,3.4729107511e-11
Selenate[e],17,1,1,1000.0
biomass[e],17,1,1,7.7238958773e-10
cpd00001_e0,17,1,1,1000.0
cpd00007_e0,17,1,1,4.4555441488e-08
cpd00009_e0,17,1,1,1000.0
cpd00011_e0,17,1,1,1000.0
cpd00012_e0,17,1,1,1000.0
cpd00013_e0,17,1,1,999.99999999
cpd00025_e0,17,1,1,8.4839386012e-11
cpd00029_e0,17,1,1,1000.0
cpd00034_e0,17,1,1,1000.0
cpd00036_e0,17,1,1,1000.0
cpd00048_e0,17,1,1,1000.0
cpd00051_e0,17,1,1,1000.0
cpd00054_e0,17,1,1,1000.0
cpd00058_e0,17,1,1,1000.0
cpd00063_e0,17,1,1,1000.0
cpd00067_e0,17,1,1,1000.0
cpd00085_e0,17,1,1,1000.0
cpd00099_e0,17,1,1,1000.0
cpd00106_e0,17,1,1,1000.0
cpd00108_e0,17,1,1,1000.0
cpd00116_e0,17,1,1,1000.0
cpd00129_e0,17,1,1,1000.0
cpd00142_e0,17,1,1,1000.0
cpd00149_e0,17,1,1,1000.0
cpd00204_e0,17,1,1,6.488072536899999e-15
cpd00205_e0,17,1,1,1000.0
cpd00229_e0,17,1,1,4.6000310704e-12
cpd00239_e0,17,1,1,1000.0
cpd00254_e0,17,1,1,1000.0
cpd00971_e0,17,1,1,1000.0
