ID	KBase Model	ModelSEEDpy Model	Name	Equation
rxn08844_c0	Y	Y	rxn08844_c0	Lysophospholipase L2 (2-acylglycerophosphoethanolamine, n-C18:1)_c0	cpd00001_c0 + cpd15342_c0 <=> cpd00067_c0 + cpd00908_c0 + cpd15269_c0
rxn00839_c0	Y	Y	rxn00839_c0	ATP:dADP phosphotransferase_c0	cpd00002_c0 + cpd00177_c0 <=> cpd00008_c0 + cpd00115_c0
rxn05334_c0	Y	Y	rxn05334_c0	(3R)-3-Hydroxybutanoyl-[acyl-carrier-protein] hydro-lyase_c0	cpd11483_c0 <=> cpd00001_c0 + cpd11471_c0
rxn01653_c0	Y	Y	rxn01653_c0	5-Formyltetrahydrofolate cyclo-ligase (ADP-forming)_c0	cpd00002_c0 + cpd02197_c0 --> cpd00008_c0 + cpd00009_c0 + cpd00347_c0
rxn02507_c0	Y	Y	rxn02507_c0	1-(2-Carboxyphenylamino)-1-deoxy-D-ribulose-5-phosphate carboxy-lyase(cyclizing)_c0	cpd00067_c0 + cpd00956_c0 --> cpd00001_c0 + cpd00011_c0 + cpd02210_c0
SK_cpd11416_c0		Y	SK_cpd11416_c0	Sink for Biomass_c0	cpd11416_c0 --> 
rxn08898_c0	Y	Y	rxn08898_c0	murein D,D-endopeptidase (murein4px4px4p) (periplasm)_c0	cpd00001_c0 + cpd15508_c0 <=> cpd15507_c0
rxn02155_c0	Y	Y	rxn02155_c0	ATP:nicotinamide-nucleotide adenylyltransferase_c0	cpd00002_c0 + cpd00873_c0 <=> cpd00012_c0 + cpd00638_c0
rxn01516_c0	Y	Y	rxn01516_c0	dTTP:uridine 5'-phosphotransferase_c0	cpd00249_c0 + cpd00357_c0 --> cpd00067_c0 + cpd00091_c0 + cpd00297_c0
rxn01896_c0	Y	Y	rxn01896_c0	2-hydroxymuconate-semialdehyde formylhydrolase_c0	cpd00047_c0 + cpd00067_c0 + cpd00461_c0 <=> cpd00001_c0 + cpd00518_c0
rxn12845_c0	Y	Y	rxn12845_c0	Gly-Leu aminopeptidase_c0	cpd00001_c0 + cpd15604_c0 <=> cpd00033_c0 + cpd00107_c0
rxn23042_c0	Y	Y	rxn23042_c0	thiamine-phosphate diphosphorylase_c0	2.0 cpd00067_c0 + cpd02894_c0 + cpd21480_c0 --> cpd00011_c0 + cpd00012_c0 + cpd00793_c0
rxn01132_c0		Y	rxn01132_c0	Maltose:phosphate 1-beta-D-glucosyltransferase_c0	cpd00009_c0 + cpd00179_c0 <=> cpd00027_c0 + cpd00501_c0
EX_cpd00081_e0	Y		EX_cpd00081_e0	Exchange for Sulfite [e0]	cpd00081_e0 <=> 
rxn02774_c0	Y	Y	rxn02774_c0	S-Adenosyl-L-methionine:uroporphyrin-III C-methyltransferase_c0	cpd00003_c0 + cpd01620_c0 <=> cpd00004_c0 + 2.0 cpd00067_c0 + cpd03426_c0
rxn00362_c0	Y	Y	rxn00362_c0	Cytidine-5'-monophosphate phosphoribohydrolase_c0	cpd00001_c0 + cpd00046_c0 <=> cpd00101_c0 + cpd00307_c0
rxn01867_c0	Y	Y	rxn01867_c0	p-cumic alcohol:NAD+ oxidoreductase_c0	cpd00001_c0 + cpd00003_c0 + cpd00447_c0 --> cpd00004_c0 + 2.0 cpd00067_c0 + cpd00540_c0
rxn01084_c0	Y	Y	rxn01084_c0	ATP:cob(I)alamin Co-beta-adenosyltransferase_c0	cpd00002_c0 + cpd00635_c0 --> cpd00166_c0 + cpd00421_c0
rxn00506_c0	Y	Y	rxn00506_c0	Acetaldehyde:NAD+ oxidoreductase_c0	cpd00001_c0 + cpd00003_c0 + cpd00071_c0 --> cpd00004_c0 + cpd00029_c0 + 2.0 cpd00067_c0
EX_cpd00246_e0	Y	Y	EX_cpd00246_e0	Exchange for Inosine_e0	cpd00246_e0 <=> 
rxn09107_c0	Y	Y	rxn09107_c0	phosphatidylglycerol phosphate phosphatase (periplasm, n-C18:1)_c0	cpd00001_c0 + cpd15548_c0 --> cpd00009_c0 + cpd00067_c0 + cpd15541_c0
rxn10255_c0	Y	Y	rxn10255_c0	isotetradecanoyl-Diacylglycerol kinase_c0	cpd00002_c0 + cpd15703_c0 <=> cpd00008_c0 + cpd15679_c0
rxn00056_c0	Y	Y	rxn00056_c0	Fe(II):oxygen oxidoreductase_c0	cpd00007_c0 + 4.0 cpd00067_c0 + 4.0 cpd10515_c0 --> 2.0 cpd00001_c0 + 4.0 cpd10516_c0
rxn08845_c0	Y	Y	rxn08845_c0	Lysophospholipase L2 (2-acylglycerophosphoglycerol, n-C12:0)_c0	cpd00001_c0 + cpd15343_c0 <=> cpd00067_c0 + cpd01741_c0 + cpd02090_c0
rxn01316_c0	Y	Y	rxn01316_c0	phosphoenolpyruvate:N-acetyl-D-mannosamine C-(1-carboxyvinyl)transferase (phosphate-hydrolysing, 2-carboxy-2-oxoethyl-forming)_c0	cpd00009_c0 + cpd00232_c0 <-- cpd00001_c0 + cpd00061_c0 + cpd00492_c0
rxn02529_c0	Y	Y	rxn02529_c0	Cyanate C-N-lyase_c0	cpd00067_c0 + cpd00242_c0 + cpd01015_c0 <=> cpd00011_c0 + cpd01101_c0
rxn10236_c0	Y	Y	rxn10236_c0	anteisopentadecanoyl-phosphatidylserine decarboxylase_c0	2.0 cpd00067_c0 + cpd15693_c0 --> cpd00011_c0 + cpd15699_c0
rxn00832_c0	Y	Y	rxn00832_c0	IMP 1,2-hydrolase (decyclizing)_c0	cpd00001_c0 + cpd00114_c0 <=> cpd02884_c0
rxn08129_c0	Y	Y	rxn08129_c0	Amylomaltase (maltohexaose)_c0	cpd00179_c0 + cpd01329_c0 <=> cpd00027_c0 + cpd15494_c0
rxn00058_c0		Y	rxn00058_c0	Ferrocytochrome-c:oxygen oxidoreductase_c0	cpd00007_c0 + 4.0 cpd00067_c0 + 4.0 cpd00110_c0 --> 2.0 cpd00001_c0 + 4.0 cpd00109_c0
rxn02376_c0	Y	Y	rxn02376_c0	R03316_c0	cpd00213_c0 + cpd03189_c0 <=> cpd00056_c0 + cpd00860_c0
rxn05325_c0	Y		rxn05325_c0	Octanoyl-[acyl-carrier protein]:malonyl-CoA C-acyltransferase(decarboxylating, oxoacyl- and enoyl-reducing) [c0]	cpd00003_c0 + cpd11470_c0 <-- cpd00004_c0 + cpd00067_c0 + cpd11471_c0
rxn01834_c0	Y	Y	rxn01834_c0	(R)-S-Lactoylglutathione methylglyoxal-lyase (isomerizing)_c0	cpd02182_c0 <=> cpd00042_c0 + cpd00428_c0
rxn10052_c0	Y	Y	rxn10052_c0	adenylate kinase (Inorganic triphosphate)_c0	cpd00018_c0 + cpd00421_c0 <=> cpd00008_c0 + cpd00012_c0
rxn00559_c0	Y	Y	rxn00559_c0	D-mannose-6-phosphate aldose-ketose-isomerase_c0	cpd00235_c0 <=> cpd00072_c0
rxn01299_c0	Y	Y	rxn01299_c0	Inosine ribohydrolase_c0	cpd00001_c0 + cpd00246_c0 <=> cpd00105_c0 + cpd00226_c0
rxn01069_c0	Y	Y	rxn01069_c0	O-phospho-L-homoserine phosphate-lyase (adding water;L-threonine-forming)_c0	cpd00001_c0 + cpd00809_c0 --> cpd00009_c0 + cpd00161_c0
rxn42230_c0	Y	Y	rxn42230_c0	rxn42230_c0	2.0 cpd00002_c0 + cpd28070_c0 + 2.0 cpd33817_c0 <=> 3.0 cpd00067_c0 + 2.0 cpd00421_c0 + 2.0 cpd03918_c0 + cpd27744_c0
rxn02297_c0	Y	Y	rxn02297_c0	6-Carboxyhexanoyl-CoA:L-alanine C-carboxyhexanoyltransferase (decarboxylating)_c0	cpd00035_c0 + cpd00067_c0 + cpd00782_c0 --> cpd00010_c0 + cpd00011_c0 + cpd00800_c0
rxn01893_c0	Y	Y	rxn01893_c0	R02601_c0	cpd00001_c0 + cpd00461_c0 --> cpd02258_c0
rxn00745_c0	Y	Y	rxn00745_c0	Phosphoenolpyruvate:glycerone phosphotransferase_c0	cpd00061_c0 + cpd00157_c0 <=> cpd00020_c0 + cpd00095_c0
rxn14159_c0	Y	Y	rxn14159_c0	Ferredoxin:NADP+ oxidoreductase_c0	cpd00006_c0 + cpd00067_c0 + 2.0 cpd11620_c0 <-- cpd00005_c0 + 2.0 cpd11621_c0
rxn05322_c0	Y		rxn05322_c0	Butyryl-[acyl-carrier protein]:malonyl-CoA C-acyltransferase(decarboxylating, oxoacyl- and enoyl-reducing) [c0]	cpd00003_c0 + cpd11464_c0 <-- cpd00004_c0 + 2.0 cpd00067_c0 + cpd11465_c0
rxn08838_c0	Y	Y	rxn08838_c0	Lysophospholipase L2 (2-acylglycerophosphoethanolamine, n-C12:0)_c0	cpd00001_c0 + cpd15336_c0 <=> cpd00067_c0 + cpd00908_c0 + cpd01741_c0
rxn03504_c0	Y	Y	rxn03504_c0	N-acetyl-D-galactosamine 6-phosphate amidohydrolase_c0	cpd00001_c0 + cpd03812_c0 <=> cpd00029_c0 + cpd03813_c0
rxn10225_c0	Y	Y	rxn10225_c0	isohexadecanoyl-phosphatidate cytidylyltransferase_c0	cpd00052_c0 + cpd15682_c0 --> cpd00012_c0 + cpd00067_c0 + cpd15688_c0
rxn01331_c0	Y	Y	rxn01331_c0	D-erythrose 4-phosphate:NAD+ oxidoreductase_c0	cpd00001_c0 + cpd00003_c0 + cpd00236_c0 --> cpd00004_c0 + 2.0 cpd00067_c0 + cpd02147_c0
rxn02264_c0	Y	Y	rxn02264_c0	Hydroxymethylbilane hydro-lyase(cyclizing)_c0	cpd00755_c0 <=> cpd00001_c0 + cpd00774_c0
EX_cpd00063_e0	Y	Y	EX_cpd00063_e0	Exchange for Ca2+_e0	cpd00063_e0 <=> 
rxn08353_c0	Y	Y	rxn08353_c0	5-demethylubiquinone-8 methyltransferase_c0	cpd00017_c0 + cpd15360_c0 <=> cpd00019_c0 + cpd00067_c0 + cpd15561_c0
rxn10043_c0		Y	rxn10043_c0	cytochrome-c oxidase (H+/e- = 2)_c0	0.5 cpd00007_c0 + 6.0 cpd00067_c0 + 2.0 cpd00110_c0 --> cpd00001_c0 + 4.0 cpd00067_e0 + 2.0 cpd00109_c0
rxn02317_c0	Y		rxn02317_c0	ITP:D-Tagatose 6-phosphate 1-phosphotransferase [c0]	cpd00068_c0 + cpd00805_c0 <=> cpd00067_c0 + cpd00090_c0 + cpd02371_c0
bio1_biomass	Y		bio1_biomass	GramNegativeBiomass	40.0 cpd00001_c0 + 40.0 cpd00002_c0 + 0.00160004066244054 cpd00003_c0 + 0.00160004066244054 cpd00006_c0 + 0.00160004066244054 cpd00010_c0 + 0.00160004066244054 cpd00015_c0 + 0.00160004066244054 cpd00016_c0 + 0.00160004066244054 cpd00017_c0 + 0.00160004066244054 cpd00028_c0 + 0.00160004066244054 cpd00030_c0 + 0.00160004066244054 cpd00034_c0 + 0.00160004066244054 cpd00042_c0 + 0.00160004066244054 cpd00048_c0 + 0.00160004066244054 cpd00056_c0 + 0.00160004066244054 cpd00058_c0 + 0.00160004066244054 cpd00063_c0 + 0.00160004066244054 cpd00087_c0 + 0.00160004066244054 cpd00099_c0 + 0.00160004066244054 cpd00118_c0 + 0.00160004066244054 cpd00149_c0 + 0.00160004066244054 cpd00166_c0 + 0.00160004066244054 cpd00201_c0 + 0.00160004066244054 cpd00205_c0 + 0.00160004066244054 cpd00220_c0 + 0.00160004066244054 cpd00254_c0 + 0.00160004066244054 cpd00264_c0 + 0.00160004066244054 cpd00345_c0 + 0.00160004066244054 cpd00557_c0 + 0.032079293220334 cpd02229_c0 + 0.032079293220334 cpd03736_c0 + 0.00160004066244054 cpd10515_c0 + 0.00160004066244054 cpd10516_c0 + 0.0121667 cpd11461_c0 + 0.1911666 cpd11462_c0 + 0.5441666 cpd11463_c0 + 0.00160004066244054 cpd11493_c0 + 0.00160004066244054 cpd15352_c0 + 0.00160004066244054 cpd15500_c0 + 0.0248034535317025 cpd15533_c0 + 0.0248034535317025 cpd15540_c0 + 0.00160004066244054 cpd15560_c0 + 0.032079293220334 cpd15665_c0 + 0.0248034535317025 cpd15793_c0 --> 40.0 cpd00008_c0 + 39.9983999593376 cpd00009_c0 + 40.0 cpd00067_c0 + 0.00160004066244054 cpd01997_c0 + 0.00160004066244054 cpd03422_c0 + cpd11416_c0 + 0.00160004066244054 cpd12370_c0 + 0.032079293220334 cpd15666_c0
rxn39452_c0	Y	Y	rxn39452_c0	2,3,4,5-tetrahydrodipicolinate:NADP+ 4-oxidoreductase_c0	cpd00001_c0 + cpd00006_c0 + cpd02465_c0 <=> cpd00005_c0 + cpd00067_c0 + cpd21488_c0
rxn03194_c0		Y	rxn03194_c0	(S)-2-Aceto-2-hydroxybutanoate pyruvate-lyase (carboxylating)_c0	cpd00094_c0 + cpd03049_c0 <=> cpd00056_c0 + cpd00498_c0
rxn00500_c0	Y	Y	rxn00500_c0	(R)-Lactate:NAD+ oxidoreductase_c0	cpd00003_c0 + cpd00221_c0 <=> cpd00004_c0 + cpd00020_c0 + cpd00067_c0
rxn08502_e0	Y	Y	rxn08502_e0	enterobactin Fe(III) binding (spontaneous)_e0	cpd03453_e0 + cpd10516_e0 --> cpd03726_e0
rxn05064_c0	Y	Y	rxn05064_c0	carbamate hydro-lyase_c0	2.0 cpd00067_c0 + cpd01101_c0 --> cpd00011_c0 + cpd00013_c0
rxn02889_c0	Y	Y	rxn02889_c0	3-Methylcrotonoyl-CoA:carbon-dioxide ligase (ADP-forming)_c0	cpd00002_c0 + cpd00242_c0 + cpd01966_c0 --> cpd00008_c0 + cpd00009_c0 + cpd00067_c0 + cpd02068_c0
rxn05215_c0	Y	Y	rxn05215_c0	Alanine-Sodium symporter_c0	cpd00035_e0 + cpd00971_e0 <=> cpd00035_c0 + cpd00971_c0
rxn00256_c0	Y	Y	rxn00256_c0	acetyl-CoA:oxaloacetate C-acetyltransferase (thioester-hydrolysing)_c0	cpd00010_c0 + cpd00067_c0 + cpd00137_c0 <-- cpd00001_c0 + cpd00022_c0 + cpd00032_c0
rxn00943_c0	Y	Y	rxn00943_c0	Palmitoyl-CoA hydrolase_c0	cpd00001_c0 + cpd00134_c0 --> cpd00010_c0 + cpd00067_c0 + cpd00214_c0
rxn02474_c0	Y	Y	rxn02474_c0	5-amino-6-(5-phosphoribitylamino)uracil:NADP+ 1'-oxidoreductase_c0	cpd00006_c0 + cpd02720_c0 <=> cpd00005_c0 + cpd00067_c0 + cpd00931_c0
rxn01117_c0	Y	Y	rxn01117_c0	D-arabinose-5-phosphate aldose-ketose-isomerase_c0	cpd00817_c0 <=> cpd00171_c0
rxn12634_c0	Y	Y	rxn12634_c0	methionyl aminopeptidase_c0	cpd00001_c0 + cpd11592_c0 <=> cpd00023_c0 + cpd00033_c0
rxn08850_c0	Y	Y	rxn08850_c0	Lysophospholipase L2 (2-acylglycerophosphoglycerol, n-C18:0)_c0	cpd00001_c0 + cpd15348_c0 <=> cpd00067_c0 + cpd01080_c0 + cpd02090_c0
rxn00029_c0	Y	Y	rxn00029_c0	5-aminolevulinate hydro-lyase (adding 5-aminolevulinate and cyclizing; porphobilinogen-forming)_c0	2.0 cpd00338_c0 --> 2.0 cpd00001_c0 + cpd00067_c0 + cpd00689_c0
rxn14422_c0	Y		rxn14422_c0	cytochrome-bd oxidase (2 protons translocated) [c0]	0.5 cpd00007_c0 + 4.0 cpd00067_c0 + cpd18078_c0 --> cpd00001_c0 + 2.0 cpd00067_e0 + cpd18077_c0
rxn01480_c0	Y	Y	rxn01480_c0	3-Hydroxy-2-methylpropanoate:NAD+ oxidoreductase_c0	cpd00003_c0 + cpd00876_c0 <=> cpd00004_c0 + cpd00067_c0 + cpd00287_c0
rxn01225_c0	Y	Y	rxn01225_c0	Guanine aminohydrolase_c0	cpd00001_c0 + cpd00067_c0 + cpd00207_c0 --> cpd00013_c0 + cpd00309_c0
rxn01122_c0	Y	Y	rxn01122_c0	D-altronate hydro-lyase (2-dehydro-3-deoxy-D-gluconate-forming)_c0	cpd00608_c0 --> cpd00001_c0 + cpd00176_c0
rxn01274_c0	Y	Y	rxn01274_c0	(R)-S-Lactoylglutathione hydrolase_c0	cpd00001_c0 + cpd02182_c0 --> cpd00042_c0 + cpd00067_c0 + cpd00221_c0
rxn01925_c0	Y	Y	rxn01925_c0	2-methylpropanoyl-CoA:enzyme N6-(dihydrolipoyl)lysine S-(2-methylpropanoyl)transferase_c0	cpd00449_c0 + cpd00481_c0 <=> cpd00010_c0 + cpd02700_c0
rxn08801_c0	Y	Y	rxn08801_c0	Lysophospholipase L1 (2-acylglycerophosphotidate, n-C18:0) (periplasm)_c0	cpd00001_c0 + cpd15329_c0 <=> cpd00067_c0 + cpd00080_c0 + cpd01080_c0
rxn00929_c0	Y	Y	rxn00929_c0	L-Proline:NAD+ 5-oxidoreductase_c0	cpd00003_c0 + cpd00129_c0 <=> cpd00004_c0 + 2.0 cpd00067_c0 + cpd02431_c0
rxn01368_c0	Y	Y	rxn01368_c0	Cytidine aminohydrolase_c0	cpd00001_c0 + cpd00067_c0 + cpd00367_c0 --> cpd00013_c0 + cpd00249_c0
rxn05343_c0	Y	Y	rxn05343_c0	Octanoyl-[acyl-carrier protein]:malonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating)_c0	cpd11470_c0 + cpd11492_c0 --> cpd00011_c0 + cpd11487_c0 + cpd11493_c0
rxn08521_c0	Y	Y	rxn08521_c0	reduced-riboflavin:NAD+ oxidoreductase_c0	cpd00004_c0 + 2.0 cpd00067_c0 + cpd00220_c0 <=> cpd00003_c0 + cpd00739_c0
rxn00904_c0	Y	Y	rxn00904_c0	L-Valine:pyruvate aminotransferase_c0	cpd00020_c0 + cpd00156_c0 <=> cpd00035_c0 + cpd00123_c0
rxn03891_c0	Y	Y	rxn03891_c0	R05612_c0	cpd00113_c0 + cpd00906_c0 --> cpd00012_c0 + cpd00067_c0 + cpd02590_c0
rxn21862_c0	Y	Y	rxn21862_c0	RXN-11481.c_c0	cpd22065_c0 --> cpd00001_c0 + cpd27021_c0
rxn00868_c0	Y		rxn00868_c0	Butanoyl-CoA:(acceptor) 2,3-oxidoreductase [c0]	cpd00003_c0 + cpd00120_c0 <-- cpd00004_c0 + cpd00067_c0 + cpd00650_c0
rxn01465_c0	Y	Y	rxn01465_c0	(S)-dihydroorotate amidohydrolase_c0	cpd00001_c0 + cpd00282_c0 <=> cpd00067_c0 + cpd00343_c0
rxn09562_c0	Y	Y	rxn09562_c0	Guanylate kinase_c0	cpd00067_c0 + cpd00115_c0 + cpd00126_c0 <=> cpd00031_c0 + cpd00177_c0
rxn12638_c0	Y	Y	rxn12638_c0	methionyl aminopeptidase_c0	cpd00001_c0 + cpd11588_c0 --> cpd00033_c0 + cpd00129_c0
rxn08814_c0	Y	Y	rxn08814_c0	Lysophospholipase L1 (2-acylglycerophosphoglycerol, n-C16:1) (periplasm)_c0	cpd00001_c0 + cpd15322_c0 <=> cpd00067_c0 + cpd02090_c0 + cpd15237_c0
rxn05346_c0	Y	Y	rxn05346_c0	butyryl-[acyl-carrier protein]:malonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating)_c0	cpd11464_c0 + cpd11492_c0 --> cpd00011_c0 + cpd11486_c0 + cpd11493_c0
rxn08806_c0	Y	Y	rxn08806_c0	Lysophospholipase L1 (2-acylglycerophosphoethanolamine, n-C16:0) (periplasm)_c0	cpd00001_c0 + cpd15316_c0 <=> cpd00067_c0 + cpd00214_c0 + cpd00908_c0
rxn08428_c0	Y		rxn08428_c0	ethanol transport via diffusion (extracellular to periplasm) [c0]	cpd00363_c0 <=> cpd00363_e0
rxn01188_c0	Y	Y	rxn01188_c0	3-dehydroshikimate hydro-lyase_c0	cpd01716_c0 --> cpd00001_c0 + cpd00197_c0
rxn00988_c0	Y	Y	rxn00988_c0	Acetoacetate:CoA ligase (AMP-forming)_c0	cpd00002_c0 + cpd00010_c0 + cpd00142_c0 --> cpd00012_c0 + cpd00018_c0 + cpd00067_c0 + cpd00279_c0
rxn02473_c0	Y	Y	rxn02473_c0	D-erythro-1-(Imidazol-4-yl)glycerol 3-phosphate hydro-lyase_c0	cpd02843_c0 --> cpd00001_c0 + cpd00930_c0
rxn05369_c0	Y	Y	rxn05369_c0	8-methyl-3-hydroxy-decanoyl-ACP hydro-lyase_c0	cpd11505_c0 <=> cpd00001_c0 + cpd11506_c0
rxn08352_c0	Y	Y	rxn08352_c0	R08210_c0	cpd00004_c0 + cpd00067_c0 + cpd08615_c0 --> cpd00001_c0 + cpd00003_c0 + cpd00202_c0
EX_cpd00161_e0	Y		EX_cpd00161_e0	Exchange for L-Threonine [e0]	cpd00161_e0 <=> 
rxn08890_c0	Y	Y	rxn08890_c0	murein D,D-carboxypeptidase (murein5px4p) (periplasm)_c0	cpd00001_c0 + cpd15514_c0 <=> cpd00117_c0 + cpd15506_c0
EX_cpd00013_e0	Y	Y	EX_cpd00013_e0	Exchange for NH3_e0	cpd00013_e0 <=> 
rxn05488_c0	Y		rxn05488_c0	acetate reversible transport via proton symport [c0]	cpd00029_e0 + cpd00067_e0 <=> cpd00029_c0 + cpd00067_c0
rxn00853_c0	Y	Y	rxn00853_c0	N-Carbamoylputrescine amidohydrolase_c0	cpd00001_c0 + 2.0 cpd00067_c0 + cpd00341_c0 --> cpd00011_c0 + cpd00013_c0 + cpd00118_c0
rxn08098_c0	Y	Y	rxn08098_c0	D-alanyl-D-alanine (DalaDala) transport via ABC system (periplasm)_c0	cpd00001_c0 + cpd00002_c0 + cpd00731_e0 --> cpd00008_c0 + cpd00009_c0 + cpd00067_c0 + cpd00731_c0
rxn09106_c0	Y	Y	rxn09106_c0	phosphatidylglycerol phosphate phosphatase (periplasm, n-C18:0)_c0	cpd00001_c0 + cpd15547_c0 --> cpd00009_c0 + cpd00067_c0 + cpd15540_c0
rxn04133_c0	Y	Y	rxn04133_c0	R06064_c0	cpd00001_c0 + cpd08625_c0 --> cpd00011_c0 + cpd00067_c0 + cpd01092_c0
rxn00105_c0	Y	Y	rxn00105_c0	ATP:nicotinamide-nucleotide adenylyltransferase_c0	cpd00002_c0 + cpd00355_c0 --> cpd00003_c0 + cpd00012_c0
rxn01603_c0	Y	Y	rxn01603_c0	7,8-dihydropteroate:L-glutamate ligase (ADP-forming)_c0	cpd00002_c0 + cpd00023_c0 + cpd00683_c0 --> cpd00008_c0 + cpd00009_c0 + cpd00067_c0 + cpd00330_c0
rxn01602_c0	Y	Y	rxn01602_c0	dihydrofolate:NADP+ oxidoreductase_c0	cpd00006_c0 + cpd00330_c0 <=> cpd00005_c0 + cpd00067_c0 + cpd00393_c0
EX_cpd03424_e0	Y	Y	EX_cpd03424_e0	Exchange for Vitamin B12_e0	cpd03424_e0 <=> 
EX_cpd00540_e0	Y	Y	EX_cpd00540_e0	Exchange for BET_e0	cpd00540_e0 <=> 
EX_cpd00227_e0	Y		EX_cpd00227_e0	Exchange for L-Homoserine [e0]	cpd00227_e0 <=> 
rxn08084_c0	Y	Y	rxn08084_c0	1-tetradecanoyl-sn-glycerol 3-phosphate O-acyltransferase (n-C14:0)_c0	cpd00067_c0 + cpd11466_c0 + cpd15331_c0 --> cpd11493_c0 + cpd15522_c0
rxn02186_c0	Y	Y	rxn02186_c0	2,3-Dihydroxy-3-methylbutanoate:NADP+ oxidoreductase (isomerizing)_c0	cpd00005_c0 + cpd00067_c0 + cpd00668_c0 <=> cpd00006_c0 + cpd02498_c0
rxn02465_c0	Y	Y	rxn02465_c0	N-acetyl-L-glutamate-5-semialdehyde:NADP+ 5-oxidoreductase (phosphrylating)_c0	cpd00006_c0 + cpd00009_c0 + cpd00918_c0 <-- cpd00005_c0 + cpd00067_c0 + cpd02552_c0
rxn14011_c0	Y		rxn14011_c0	ditrans,pentacis-octaprenyl-diphosphate:isopentenyl-diphosphate octaprenylcistransferase [c0]	cpd00113_c0 + cpd17567_c0 --> cpd00012_c0 + cpd00067_c0 + cpd17568_c0
rxn00952_c0	Y	Y	rxn00952_c0	O-acetyl-L-homoserine:hydrogen sulfide S-(3-amino-3-carboxypropyl)transferase_c0	cpd00239_c0 + cpd00790_c0 --> cpd00029_c0 + cpd00135_c0
rxn06600_c0	Y	Y	rxn06600_c0	S-aminomethyldihydrolipoylprotein:(6S)-tetrahydrofolate aminomethyltransferase (ammonia-forming)_c0	cpd00087_c0 + cpd11830_c0 --> cpd00013_c0 + cpd00125_c0 + cpd12225_c0
rxn12639_c0	Y	Y	rxn12639_c0	RXN0-6976.c_c0	cpd00001_c0 + cpd11587_c0 <=> cpd00035_c0 + cpd00053_c0
rxn00183_c0	Y	Y	rxn00183_c0	L-Glutamate 5-semialdehyde:NAD+ oxidoreductase_c0	cpd00001_c0 + cpd00003_c0 + cpd00858_c0 --> cpd00004_c0 + cpd00023_c0 + 2.0 cpd00067_c0
EX_cpd00268_e0	Y		EX_cpd00268_e0	Exchange for H2S2O3 [e0]	cpd00268_e0 <=> 
rxn08350_c0	Y		rxn08350_c0	D-lactate transport via proton symport (periplasm) [c0]	cpd00067_e0 + cpd00221_e0 <=> cpd00067_c0 + cpd00221_c0
rxn08798_c0	Y	Y	rxn08798_c0	Lysophospholipase L1 (2-acylglycerophosphotidate, n-C14:1) (periplasm)_c0	cpd00001_c0 + cpd15330_c0 --> 2.0 cpd00067_c0 + cpd00080_c0 + cpd15298_c0
EX_cpd00531_e0	Y	Y	EX_cpd00531_e0	Exchange for Hg2+_e0	cpd00531_e0 <=> 
