2.5.1.81	rxn05287	geranylgeranyl-diphosphate:isopentenyl-diphosphate transtransferase	MetaCyc: PWY-7720 (ophiobolin F biosynthesis); PWY-7736 (stellatic acid biosynthesis); SECONDARY-METABOLITE-BIOSYNTHESIS (Secondary Metabolite Biosynthesis); SESTERTERPENOID-BIOSYNTHESIS (Sesterterpenoid Biosynthesis); Terpenoid-Biosynthesis (Terpenoid Biosynthesis)
1.1.1.100|2.3.1.85|2.3.1.86	rxn05340	(3R)-3-Hydroxydodecanoyl-[acyl-carrier-protein]:NADP+ oxidoreductase	MetaCyc: Fatty-acid-biosynthesis (Fatty Acid Biosynthesis); Lipid-Biosynthesis (Fatty Acid and Lipid Biosynthesis); PWY-5156 (superpathway of fatty acid biosynthesis II (plant)); PWY-5971 (palmitate biosynthesis II (bacteria and plants)); PWY-5994 (palmitate biosynthesis I (animals and fungi)); PWY-6113 (superpathway of mycolate biosynthesis); PWY-6285 (superpathway of fatty acids biosynthesis (<i>E. coli</i>)); Palmitate-Biosynthesis (Palmitate Biosynthesis)|KEGG: rn00061 (Fatty acid biosynthesis); rn01212 (Fatty acid metabolism)
1.1.1.100|2.3.1.85|2.3.1.86	rxn05342	(3R)-3-Hydroxytetradecanoyl-[acyl-carrier-protein]:NADP+ oxidoreductase	MetaCyc: Fatty-acid-biosynthesis (Fatty Acid Biosynthesis); Lipid-Biosynthesis (Fatty Acid and Lipid Biosynthesis); PWY-5156 (superpathway of fatty acid biosynthesis II (plant)); PWY-5971 (palmitate biosynthesis II (bacteria and plants)); PWY-5994 (palmitate biosynthesis I (animals and fungi)); PWY-6113 (superpathway of mycolate biosynthesis); PWY-6285 (superpathway of fatty acids biosynthesis (<i>E. coli</i>)); Palmitate-Biosynthesis (Palmitate Biosynthesis)|KEGG: rn00061 (Fatty acid biosynthesis); rn01212 (Fatty acid metabolism)
2.3.1.179|2.3.1.180|2.3.1.38|2.3.1.85|2.3.1.86	rxn05349	acetyl-CoA:[acyl-carrier-protein] S-acetyltransferase	MetaCyc: FASYN-INITIAL-PWY (superpathway of fatty acid biosynthesis initiation (E. coli)); Fatty-acid-biosynthesis (Fatty Acid Biosynthesis); Lipid-Biosynthesis (Fatty Acid and Lipid Biosynthesis); PWY-5966 (fatty acid biosynthesis initiation II); PWY0-881 (superpathway of fatty acid biosynthesis I (E. coli))|KEGG: rn00061 (Fatty acid biosynthesis); rn01212 (Fatty acid metabolism)
3.1.3.18	rxn00980	2-Phosphoglycolate phosphohydrolase	MetaCyc: Energy-Metabolism (Generation of Precursor Metabolite and Energy); PWY-181 (photorespiration); Photosynthesis ()|KEGG: rn00630 (Glyoxylate and dicarboxylate metabolism); rn01110 (Biosynthesis of secondary metabolites)
2.7.1.31	rxn01102	ATP:(R)-glycerate 3-phosphotransferase	"MetaCyc: Energy-Metabolism (Generation of Precursor Metabolite and Energy); PWY-181 (photorespiration); Photosynthesis ()|KEGG: rn00260 (Glycine, serine and threonine metabolism); rn00561 (Glycerolipid metabolism); rn00630 (Glyoxylate and dicarboxylate metabolism); rn01110 (Biosynthesis of secondary metabolites)"
2.8.3.5	rxn00290	succinyl-CoA:acetoacetate CoA-transferase	"MetaCyc: Energy-Metabolism (Generation of Precursor Metabolite and Energy); OTHER-ENERGY (Other); PWY66-368 (ketolysis); REDCITCYC (TCA cycle VIII (helicobacter)); TCA-VARIANTS (TCA cycle)|KEGG: rn00072 (Synthesis and degradation of ketone bodies); rn00280 (Valine, leucine and isoleucine degradation); rn00650 (Butanoate metabolism)"
1.1.1.30	rxn00992	(R)-3-Hydroxybutanoate:NAD+ oxidoreductase	MetaCyc: Energy-Metabolism (Generation of Precursor Metabolite and Energy); OTHER-ENERGY (Other); PWY66-367 (ketogenesis); PWY66-368 (ketolysis)|KEGG: rn00072 (Synthesis and degradation of ketone bodies); rn00650 (Butanoate metabolism)
3.6.3.14|7.1.2.2	rxn08173	F(1)-ATPase	MetaCyc: Electron-Transfer (Electron Transfer); Energy-Metabolism (Generation of Precursor Metabolite and Energy); PWY-7980 (ATP biosynthesis); Transport-Pathways (Transport)
2.7.4.6	rxn00117	ATP:UDP phosphotransferase	"MetaCyc: Deoxyribonucleotide-Biosynthesis (2'-Deoxyribonucleotide Biosynthesis); Nucleotide-Biosynthesis (Nucleoside and Nucleotide Biosynthesis); PRPP-PWY (superpathway of histidine, purine, and pyrimidine biosynthesis); PWY-7176 (UTP and CTP <i>de novo</i> biosynthesis); PWY-7196 (superpathway of pyrimidine ribonucleosides salvage); PWY-7208 (superpathway of pyrimidine nucleobases salvage); PWY-7211 (superpathway of pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis); PWY0-162 (superpathway of pyrimidine ribonucleotides <i>de novo</i> biosynthesis); PYR-NUC-SYN (Pyrimidine Nucleotide Biosynthesis); Pyrimid-Deoxyribonucleot-De-Novo-Biosyn (Pyrimidine Deoxyribonucleotide <i>De Novo</i> Biosynthesis); Pyrimid-Ribonucleot-De-Novo-Biosyn (Pyrimidine Ribonucleotide <i>De Novo</i> Biosynthesis); Pyrimidine-De-Novo-Biosyn (Pyrimidine Nucleotide <i>De Novo</i> Biosynthesis); Pyrimidine-Nucleotide-Salvage (Pyrimidine Nucleotide Salvage)|KEGG: rn00240 (Pyrimidine metabolism)"
2.7.4.14|2.7.4.22|2.7.4.4	rxn00119	ATP:UMP phosphotransferase	"MetaCyc: Deoxyribonucleotide-Biosynthesis (2'-Deoxyribonucleotide Biosynthesis); Nucleotide-Biosynthesis (Nucleoside and Nucleotide Biosynthesis); PRPP-PWY (superpathway of histidine, purine, and pyrimidine biosynthesis); PWY-7176 (UTP and CTP <i>de novo</i> biosynthesis); PWY-7196 (superpathway of pyrimidine ribonucleosides salvage); PWY-7208 (superpathway of pyrimidine nucleobases salvage); PWY-7211 (superpathway of pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis); PWY0-162 (superpathway of pyrimidine ribonucleotides <i>de novo</i> biosynthesis); PYR-NUC-SYN (Pyrimidine Nucleotide Biosynthesis); Pyrimid-Deoxyribonucleot-De-Novo-Biosyn (Pyrimidine Deoxyribonucleotide <i>De Novo</i> Biosynthesis); Pyrimid-Ribonucleot-De-Novo-Biosyn (Pyrimidine Ribonucleotide <i>De Novo</i> Biosynthesis); Pyrimidine-De-Novo-Biosyn (Pyrimidine Nucleotide <i>De Novo</i> Biosynthesis); Pyrimidine-Nucleotide-Salvage (Pyrimidine Nucleotide Salvage)|KEGG: rn00240 (Pyrimidine metabolism)"
4.1.1.23	rxn00710	orotidine-5'-phosphate carboxy-lyase (UMP-forming)	"MetaCyc: Deoxyribonucleotide-Biosynthesis (2'-Deoxyribonucleotide Biosynthesis); Nucleotide-Biosynthesis (Nucleoside and Nucleotide Biosynthesis); PRPP-PWY (superpathway of histidine, purine, and pyrimidine biosynthesis); PWY-5686 (UMP biosynthesis I); PWY-7211 (superpathway of pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis); PWY-7790 (UMP biosynthesis II); PWY-7791 (UMP biosynthesis III); PWY0-162 (superpathway of pyrimidine ribonucleotides <i>de novo</i> biosynthesis); PYR-NUC-SYN (Pyrimidine Nucleotide Biosynthesis); Pyrimid-Deoxyribonucleot-De-Novo-Biosyn (Pyrimidine Deoxyribonucleotide <i>De Novo</i> Biosynthesis); Pyrimid-Ribonucleot-De-Novo-Biosyn (Pyrimidine Ribonucleotide <i>De Novo</i> Biosynthesis); Pyrimidine-De-Novo-Biosyn (Pyrimidine Nucleotide <i>De Novo</i> Biosynthesis); UMP-Biosynthesis (UMP Biosynthesis)|KEGG: rn00240 (Pyrimidine metabolism)"
2.1.3.2	rxn01018	carbamoyl-phosphate:L-aspartate carbamoyltransferase	"MetaCyc: Deoxyribonucleotide-Biosynthesis (2'-Deoxyribonucleotide Biosynthesis); Nucleotide-Biosynthesis (Nucleoside and Nucleotide Biosynthesis); PRPP-PWY (superpathway of histidine, purine, and pyrimidine biosynthesis); PWY-5686 (UMP biosynthesis I); PWY-7211 (superpathway of pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis); PWY-7790 (UMP biosynthesis II); PWY-7791 (UMP biosynthesis III); PWY0-162 (superpathway of pyrimidine ribonucleotides <i>de novo</i> biosynthesis); PYR-NUC-SYN (Pyrimidine Nucleotide Biosynthesis); Pyrimid-Deoxyribonucleot-De-Novo-Biosyn (Pyrimidine Deoxyribonucleotide <i>De Novo</i> Biosynthesis); Pyrimid-Ribonucleot-De-Novo-Biosyn (Pyrimidine Ribonucleotide <i>De Novo</i> Biosynthesis); Pyrimidine-De-Novo-Biosyn (Pyrimidine Nucleotide <i>De Novo</i> Biosynthesis); UMP-Biosynthesis (UMP Biosynthesis)|KEGG: rn00240 (Pyrimidine metabolism); rn00250 (Alanine, aspartate and glutamate metabolism)"
2.4.2.10	rxn01362	Orotidine-5'-phosphate:diphosphate phospho-alpha-D-ribosyl-transferase	"MetaCyc: Deoxyribonucleotide-Biosynthesis (2'-Deoxyribonucleotide Biosynthesis); Nucleotide-Biosynthesis (Nucleoside and Nucleotide Biosynthesis); PRPP-PWY (superpathway of histidine, purine, and pyrimidine biosynthesis); PWY-5686 (UMP biosynthesis I); PWY-7211 (superpathway of pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis); PWY-7790 (UMP biosynthesis II); PWY-7791 (UMP biosynthesis III); PWY0-162 (superpathway of pyrimidine ribonucleotides <i>de novo</i> biosynthesis); PYR-NUC-SYN (Pyrimidine Nucleotide Biosynthesis); Pyrimid-Deoxyribonucleot-De-Novo-Biosyn (Pyrimidine Deoxyribonucleotide <i>De Novo</i> Biosynthesis); Pyrimid-Ribonucleot-De-Novo-Biosyn (Pyrimidine Ribonucleotide <i>De Novo</i> Biosynthesis); Pyrimidine-De-Novo-Biosyn (Pyrimidine Nucleotide <i>De Novo</i> Biosynthesis); UMP-Biosynthesis (UMP Biosynthesis)|KEGG: rn00240 (Pyrimidine metabolism)"
3.5.2.3	rxn01465	(S)-dihydroorotate amidohydrolase	"MetaCyc: Deoxyribonucleotide-Biosynthesis (2'-Deoxyribonucleotide Biosynthesis); Nucleotide-Biosynthesis (Nucleoside and Nucleotide Biosynthesis); PRPP-PWY (superpathway of histidine, purine, and pyrimidine biosynthesis); PWY-5686 (UMP biosynthesis I); PWY-7211 (superpathway of pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis); PWY-7790 (UMP biosynthesis II); PWY-7791 (UMP biosynthesis III); PWY0-162 (superpathway of pyrimidine ribonucleotides <i>de novo</i> biosynthesis); PYR-NUC-SYN (Pyrimidine Nucleotide Biosynthesis); Pyrimid-Deoxyribonucleot-De-Novo-Biosyn (Pyrimidine Deoxyribonucleotide <i>De Novo</i> Biosynthesis); Pyrimid-Ribonucleot-De-Novo-Biosyn (Pyrimidine Ribonucleotide <i>De Novo</i> Biosynthesis); Pyrimidine-De-Novo-Biosyn (Pyrimidine Nucleotide <i>De Novo</i> Biosynthesis); UMP-Biosynthesis (UMP Biosynthesis)|KEGG: rn00240 (Pyrimidine metabolism)"
2.7.4.6	rxn01512	ATP:dTDP phosphotransferase	MetaCyc: Deoxyribonucleotide-Biosynthesis (2'-Deoxyribonucleotide Biosynthesis); Metabolic-Clusters (Metabolic Clusters); Nucleotide-Biosynthesis (Nucleoside and Nucleotide Biosynthesis); PWY-6545 (pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis III); PWY-7184 (pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis I); PWY-7187 (pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis II); PWY-7197 (pyrimidine deoxyribonucleotide phosphorylation); PWY-7198 (pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis IV); PWY-7200 (superpathway of pyrimidine deoxyribonucleoside salvage); PWY-7210 (pyrimidine deoxyribonucleotides biosynthesis from CTP); PWY-7211 (superpathway of pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis); PWY0-166 (superpathway of pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis (E. coli)); PYR-NUC-SYN (Pyrimidine Nucleotide Biosynthesis); Pyrimid-Deoxyribonucleot-De-Novo-Biosyn (Pyrimidine Deoxyribonucleotide <i>De Novo</i> Biosynthesis); Pyrimidine-De-Novo-Biosyn (Pyrimidine Nucleotide <i>De Novo</i> Biosynthesis); Pyrimidine-Nucleotide-Salvage (Pyrimidine Nucleotide Salvage)|KEGG: rn00240 (Pyrimidine metabolism)
2.7.4.12|2.7.4.13|2.7.4.9	rxn01513	ATP:dTMP phosphotransferase	MetaCyc: Deoxyribonucleotide-Biosynthesis (2'-Deoxyribonucleotide Biosynthesis); Metabolic-Clusters (Metabolic Clusters); Nucleotide-Biosynthesis (Nucleoside and Nucleotide Biosynthesis); PWY-6545 (pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis III); PWY-7184 (pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis I); PWY-7187 (pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis II); PWY-7197 (pyrimidine deoxyribonucleotide phosphorylation); PWY-7198 (pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis IV); PWY-7200 (superpathway of pyrimidine deoxyribonucleoside salvage); PWY-7210 (pyrimidine deoxyribonucleotides biosynthesis from CTP); PWY-7211 (superpathway of pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis); PWY0-166 (superpathway of pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis (E. coli)); PYR-NUC-SYN (Pyrimidine Nucleotide Biosynthesis); Pyrimid-Deoxyribonucleot-De-Novo-Biosyn (Pyrimidine Deoxyribonucleotide <i>De Novo</i> Biosynthesis); Pyrimidine-De-Novo-Biosyn (Pyrimidine Nucleotide <i>De Novo</i> Biosynthesis); Pyrimidine-Nucleotide-Salvage (Pyrimidine Nucleotide Salvage)|KEGG: rn00240 (Pyrimidine metabolism)
2.7.4.6	rxn01673	ATP:dCDP phosphotransferase	MetaCyc: Deoxyribonucleotide-Biosynthesis (2'-Deoxyribonucleotide Biosynthesis); Metabolic-Clusters (Metabolic Clusters); Nucleotide-Biosynthesis (Nucleoside and Nucleotide Biosynthesis); PWY-6545 (pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis III); PWY-7184 (pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis I); PWY-7197 (pyrimidine deoxyribonucleotide phosphorylation); PWY-7198 (pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis IV); PWY-7200 (superpathway of pyrimidine deoxyribonucleoside salvage); PWY-7210 (pyrimidine deoxyribonucleotides biosynthesis from CTP); PWY-7211 (superpathway of pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis); PWY0-166 (superpathway of pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis (E. coli)); PYR-NUC-SYN (Pyrimidine Nucleotide Biosynthesis); Pyrimid-Deoxyribonucleot-De-Novo-Biosyn (Pyrimidine Deoxyribonucleotide <i>De Novo</i> Biosynthesis); Pyrimidine-De-Novo-Biosyn (Pyrimidine Nucleotide <i>De Novo</i> Biosynthesis); Pyrimidine-Nucleotide-Salvage (Pyrimidine Nucleotide Salvage)|KEGG: rn00240 (Pyrimidine metabolism)
2.7.4.6	rxn01678	ATP:dUDP phosphotransferase	MetaCyc: Deoxyribonucleotide-Biosynthesis (2'-Deoxyribonucleotide Biosynthesis); Metabolic-Clusters (Metabolic Clusters); Nucleotide-Biosynthesis (Nucleoside and Nucleotide Biosynthesis); PWY-6545 (pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis III); PWY-7184 (pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis I); PWY-7211 (superpathway of pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis); PWY0-166 (superpathway of pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis (E. coli)); PYR-NUC-SYN (Pyrimidine Nucleotide Biosynthesis); Pyrimid-Deoxyribonucleot-De-Novo-Biosyn (Pyrimidine Deoxyribonucleotide <i>De Novo</i> Biosynthesis); Pyrimidine-De-Novo-Biosyn (Pyrimidine Nucleotide <i>De Novo</i> Biosynthesis)|KEGG: rn00240 (Pyrimidine metabolism)
2.7.4.3	rxn00097	ATP:AMP phosphotransferase	"MetaCyc: DENOVOPURINE2-PWY (superpathway of purine nucleotides <i>de novo</i> biosynthesis II); Nucleotide-Biosynthesis (Nucleoside and Nucleotide Biosynthesis); PRPP-PWY (superpathway of histidine, purine, and pyrimidine biosynthesis); PUR-NUC-SYN (Purine Nucleotide Biosynthesis); PWY-6126 (superpathway of adenosine nucleotides <i>de novo</i> biosynthesis II); PWY-7219 (adenosine ribonucleotides <i>de novo</i> biosynthesis); PWY-7229 (superpathway of adenosine nucleotides <i>de novo</i> biosynthesis I); PWY-841 (superpathway of purine nucleotides <i>de novo</i> biosynthesis I); PWY66-409 (superpathway of purine nucleotide salvage); Purine-Nucleotide-De-Novo-Biosynthesis (Purine Nucleotide <i>De Novo</i> Biosynthesis); Purine-Nucleotides-Salvage (Purine Nucleotide Salvage); Purine-Ribonuc-De-Novo-Biosynthesis (Purine Riboucleotide <i>De Novo</i> Biosynthesis)|KEGG: rn00230 (Purine metabolism); rn01110 (Biosynthesis of secondary metabolites)"
2.7.4.8	rxn00239	ATP:GMP phosphotransferase	"MetaCyc: DENOVOPURINE2-PWY (superpathway of purine nucleotides <i>de novo</i> biosynthesis II); Nucleotide-Biosynthesis (Nucleoside and Nucleotide Biosynthesis); PRPP-PWY (superpathway of histidine, purine, and pyrimidine biosynthesis); PUR-NUC-SYN (Purine Nucleotide Biosynthesis); PWY-6125 (superpathway of guanosine nucleotides <i>de novo</i> biosynthesis II); PWY-7221 (guanosine ribonucleotides <i>de novo</i> biosynthesis); PWY-7228 (superpathway of guanosine nucleotides <i>de novo</i> biosynthesis I); PWY-841 (superpathway of purine nucleotides <i>de novo</i> biosynthesis I); PWY66-409 (superpathway of purine nucleotide salvage); Purine-Nucleotide-De-Novo-Biosynthesis (Purine Nucleotide <i>De Novo</i> Biosynthesis); Purine-Nucleotides-Salvage (Purine Nucleotide Salvage); Purine-Ribonuc-De-Novo-Biosynthesis (Purine Riboucleotide <i>De Novo</i> Biosynthesis)|KEGG: rn00230 (Purine metabolism)"
4.3.2.2	rxn00800	"N6-(1,2-dicarboxyethyl)AMP AMP-lyase (fumarate-forming)"	"MetaCyc: DENOVOPURINE2-PWY (superpathway of purine nucleotides <i>de novo</i> biosynthesis II); Nucleotide-Biosynthesis (Nucleoside and Nucleotide Biosynthesis); PRPP-PWY (superpathway of histidine, purine, and pyrimidine biosynthesis); PUR-NUC-SYN (Purine Nucleotide Biosynthesis); PWY-6126 (superpathway of adenosine nucleotides <i>de novo</i> biosynthesis II); PWY-7219 (adenosine ribonucleotides <i>de novo</i> biosynthesis); PWY-7229 (superpathway of adenosine nucleotides <i>de novo</i> biosynthesis I); PWY-841 (superpathway of purine nucleotides <i>de novo</i> biosynthesis I); PWY66-409 (superpathway of purine nucleotide salvage); Purine-Nucleotide-De-Novo-Biosynthesis (Purine Nucleotide <i>De Novo</i> Biosynthesis); Purine-Nucleotides-Salvage (Purine Nucleotide Salvage); Purine-Ribonuc-De-Novo-Biosynthesis (Purine Riboucleotide <i>De Novo</i> Biosynthesis)|KEGG: rn00230 (Purine metabolism); rn00250 (Alanine, aspartate and glutamate metabolism)"
