locus_tag_from_mut_lib,protein_accession,locus_tag_from_model
MIT1002_00228,WP_049588408.1,TK37_RS14695
MIT1002_00229,WP_049588407.1,TK37_RS14690
MIT1002_00230,WP_049588406.1,TK37_RS14685
MIT1002_00231,WP_049588405.1,TK37_RS14680
MIT1002_00232,WP_049588403.1,TK37_RS14675
MIT1002_00233,WP_014947922.1,TK37_RS14670
MIT1002_00234,WP_039236941.1,TK37_RS14665
MIT1002_00235,WP_049588401.1,TK37_RS14660
MIT1002_00236,WP_049588398.1,TK37_RS14655
MIT1002_00237,WP_039236951.1,TK37_RS14650
MIT1002_00238,WP_049588396.1,TK37_RS14645
MIT1002_00239,WP_049588395.1,TK37_RS14640
MIT1002_00240,WP_049588394.1,TK37_RS14635
MIT1002_00243,WP_012516827.1,TK37_RS20555
MIT1002_00244,WP_012516828.1,
MIT1002_00246,WP_049587502.1,TK37_RS10620
MIT1002_00247,WP_020742690.1,TK37_RS10615
MIT1002_00249,WP_049587499.1,TK37_RS10605
MIT1002_00250,WP_014996986.1,TK37_RS10600
MIT1002_00251,WP_049587498.1,TK37_RS10595
MIT1002_00252,WP_012516834.1,TK37_RS10590
MIT1002_00254,WP_012516837.1,TK37_RS10580
MIT1002_00255,WP_049587497.1,TK37_RS10575
MIT1002_00256,WP_049587495.1,
MIT1002_00257,WP_012516840.1,TK37_RS10565
MIT1002_00258,WP_049587494.1,
MIT1002_00259,WP_231514230.1,
MIT1002_00260,WP_264180995.1,
MIT1002_00261,WP_049587493.1,TK37_RS10550
MIT1002_00262,WP_012516845.1,
MIT1002_00263,WP_012516846.1,
MIT1002_00264,WP_226434253.1,
MIT1002_00265,WP_049587491.1,TK37_RS10540
MIT1002_00266,WP_012516849.1,TK37_RS10535
MIT1002_00267,WP_020742694.1,TK37_RS21370
MIT1002_00268,WP_049587489.1,TK37_RS10525
MIT1002_00269,WP_014996999.1,TK37_RS10520
MIT1002_00270,WP_014997000.1,TK37_RS10515
MIT1002_00271,WP_043959777.1,TK37_RS10510
MIT1002_00272,WP_020742695.1,TK37_RS10505
MIT1002_00273,WP_006991848.1,TK37_RS10500
MIT1002_00274,WP_012516857.1,TK37_RS10495
MIT1002_00275,WP_049587488.1,TK37_RS10490
MIT1002_00276,WP_012516859.1,TK37_RS10485
MIT1002_00277,WP_231506615.1,
MIT1002_00278,WP_012516861.1,TK37_RS10475
MIT1002_00279,WP_012516862.1,TK37_RS10470
MIT1002_00280,WP_012516863.1,TK37_RS10465
MIT1002_00281,WP_015066019.1,TK37_RS10460
MIT1002_00282,WP_012516865.1,TK37_RS10455
MIT1002_00283,WP_012516866.1,TK37_RS10450
MIT1002_00284,WP_170826532.1,
MIT1002_00285,WP_015066022.1,TK37_RS10440
MIT1002_00286,WP_014997005.1,TK37_RS10435
MIT1002_00287,WP_014997006.1,TK37_RS10430
MIT1002_00288,WP_015066023.1,TK37_RS10425
MIT1002_00289,WP_049587486.1,TK37_RS10420
MIT1002_00290,WP_012516877.1,TK37_RS10415
MIT1002_00292,WP_231514231.1,
MIT1002_00293,WP_014997010.1,TK37_RS10400
MIT1002_00294,WP_226434503.1,
MIT1002_00296,WP_012516884.1,TK37_RS10385
MIT1002_00297,WP_012516885.1,TK37_RS10380
MIT1002_00298,WP_012516886.1,TK37_RS10375
MIT1002_00299,WP_012516887.1,TK37_RS10370
MIT1002_00300,WP_226434510.1,
MIT1002_00301,WP_015066029.1,TK37_RS10360
MIT1002_00302,WP_044445998.1,TK37_RS10355
MIT1002_00303,WP_020742702.1,TK37_RS10350
MIT1002_00304,WP_015066032.1,TK37_RS10345
MIT1002_00305,WP_015066033.1,TK37_RS10340
MIT1002_00307,WP_041702971.1,TK37_RS10335
MIT1002_00308,WP_020742704.1,TK37_RS10330
MIT1002_00309,WP_020742705.1,TK37_RS10325
MIT1002_00310,WP_049587480.1,TK37_RS10320
MIT1002_00311,WP_049587478.1,TK37_RS10315
MIT1002_00312,WP_049587475.1,TK37_RS10310
MIT1002_00313,WP_049587474.1,TK37_RS10305
MIT1002_00314,WP_049587473.1,TK37_RS10300
MIT1002_00315,WP_049587472.1,TK37_RS10295
MIT1002_00316,WP_012516825.1,TK37_RS10290
MIT1002_00317,WP_049587471.1,TK37_RS10285
MIT1002_00318,WP_049589212.1,TK37_RS20435
MIT1002_02117,WP_049589212.1,TK37_RS20435
MIT1002_03315,WP_049589212.1,TK37_RS20435
MIT1002_00319,WP_231514232.1,
MIT1002_00320,WP_014978038.1,
MIT1002_00321,WP_012516900.1,TK37_RS20410
MIT1002_00322,WP_053103831.1,TK37_RS20405
MIT1002_00323,WP_156080632.1,
MIT1002_00324,WP_231514233.1,
MIT1002_00325,WP_012516902.1,TK37_RS20345
MIT1002_00326,WP_231514349.1,
MIT1002_00327,WP_012516904.1,
MIT1002_00329,WP_012516906.1,TK37_RS19480
MIT1002_00330,WP_012516907.1,TK37_RS19485
MIT1002_00331,WP_012516908.1,TK37_RS19490
MIT1002_00332,WP_012516909.1,TK37_RS19495
MIT1002_00333,WP_012516910.1,TK37_RS19500
MIT1002_00334,WP_012516911.1,TK37_RS19505
MIT1002_00335,WP_012516912.1,TK37_RS19510
MIT1002_00336,WP_012516914.1,
MIT1002_00337,WP_012516915.1,TK37_RS19520
MIT1002_00338,WP_012516916.1,TK37_RS19525
MIT1002_00339,WP_012516917.1,TK37_RS19530
MIT1002_00341,WP_012516918.1,TK37_RS19535
MIT1002_00342,WP_012516919.1,TK37_RS19540
MIT1002_00343,WP_015066041.1,TK37_RS19545
MIT1002_00344,WP_014978046.1,TK37_RS19550
MIT1002_00345,WP_231514234.1,
MIT1002_00346,WP_014997038.1,TK37_RS19560
MIT1002_00347,WP_049589060.1,TK37_RS19565
MIT1002_00349,WP_049588923.1,TK37_RS18405
MIT1002_00351,WP_049588921.1,TK37_RS18395
MIT1002_00352,WP_014997042.1,
MIT1002_00353,WP_049588920.1,TK37_RS18385
MIT1002_00354,WP_049588919.1,TK37_RS18380
MIT1002_00355,WP_049588918.1,TK37_RS18375
MIT1002_00356,WP_049588917.1,TK37_RS18370
MIT1002_00357,WP_049588916.1,TK37_RS18365
MIT1002_00358,WP_049588915.1,TK37_RS18360
MIT1002_00359,WP_049588914.1,TK37_RS18355
MIT1002_00360,WP_160314218.1,TK37_RS18350
MIT1002_00361,WP_014947959.1,TK37_RS18345
MIT1002_00362,WP_049588912.1,TK37_RS18340
MIT1002_00363,WP_049588911.1,TK37_RS18335
MIT1002_00364,WP_049588910.1,TK37_RS18330
MIT1002_00365,WP_014997052.1,TK37_RS18325
MIT1002_00366,WP_049588909.1,
MIT1002_00367,WP_049588908.1,TK37_RS18315
MIT1002_00368,WP_015066066.1,TK37_RS18310
MIT1002_00369,WP_014947966.1,TK37_RS18305
MIT1002_00370,WP_024015575.1,TK37_RS18300
MIT1002_00371,WP_049588907.1,TK37_RS18295
MIT1002_00377,WP_049588570.1,TK37_RS15645
MIT1002_00378,WP_014947970.1,TK37_RS15640
MIT1002_00379,WP_049588569.1,TK37_RS15635
MIT1002_00380,WP_049588568.1,TK37_RS15625
MIT1002_00381,WP_014947973.1,TK37_RS15620
MIT1002_00382,WP_375342102.1,
MIT1002_00383,WP_010179497.1,TK37_RS15610
MIT1002_00384,WP_014947975.1,TK37_RS15605
MIT1002_00385,WP_012516958.1,TK37_RS15600
MIT1002_00386,WP_012516959.1,TK37_RS15595
MIT1002_00387,WP_014997064.1,TK37_RS15590
MIT1002_00388,WP_012516961.1,TK37_RS15585
MIT1002_00389,WP_014947977.1,TK37_RS15580
MIT1002_00390,WP_014947978.1,TK37_RS15575
MIT1002_00391,WP_014997065.1,TK37_RS15570
MIT1002_00392,WP_014947980.1,TK37_RS15565
MIT1002_00393,WP_014975444.1,TK37_RS15560
MIT1002_00394,WP_275445580.1,
MIT1002_00395,WP_049588567.1,TK37_RS15550
MIT1002_00396,WP_049588566.1,TK37_RS15545
MIT1002_00397,WP_049588565.1,TK37_RS15540
MIT1002_00398,WP_231514235.1,
MIT1002_00399,WP_231514236.1,
MIT1002_00400,WP_049588564.1,TK37_RS15530
MIT1002_00401,WP_039225122.1,TK37_RS15525
MIT1002_00402,WP_049588563.1,TK37_RS15520
MIT1002_00403,WP_049588562.1,TK37_RS15515
MIT1002_00404,WP_049588561.1,TK37_RS15510
MIT1002_00405,WP_049588560.1,TK37_RS15505
MIT1002_00406,WP_049588559.1,TK37_RS15500
MIT1002_00407,WP_049588558.1,TK37_RS15495
MIT1002_00408,WP_049588557.1,TK37_RS15490
MIT1002_00409,WP_049588556.1,TK37_RS15485
MIT1002_00411,WP_049588555.1,TK37_RS15480
MIT1002_00412,WP_014948000.1,TK37_RS15475
MIT1002_00413,WP_049588554.1,TK37_RS15470
MIT1002_00414,WP_014975463.1,TK37_RS15465
MIT1002_00415,WP_049588553.1,TK37_RS15460
MIT1002_00416,WP_012516988.1,TK37_RS15455
MIT1002_00417,WP_014948004.1,TK37_RS15450
MIT1002_00419,WP_049589086.1,TK37_RS19730
MIT1002_00420,WP_049589087.1,TK37_RS19735
MIT1002_00421,WP_039225111.1,TK37_RS19740
MIT1002_00422,WP_014948008.1,TK37_RS19745
MIT1002_00423,WP_049589092.1,TK37_RS19750
MIT1002_00424,WP_049589088.1,TK37_RS19755
MIT1002_00425,WP_049589089.1,TK37_RS19760
MIT1002_00426,WP_049589090.1,TK37_RS19765
MIT1002_00427,WP_049589091.1,TK37_RS19770
MIT1002_00428,WP_231514238.1,
MIT1002_00430,WP_231514239.1,
MIT1002_00431,WP_049588785.1,TK37_RS17410
MIT1002_00432,WP_049588784.1,TK37_RS17405
MIT1002_00433,WP_049588783.1,TK37_RS17400
MIT1002_00434,WP_014948018.1,TK37_RS17395
MIT1002_00435,WP_049588782.1,TK37_RS17390
MIT1002_00436,WP_014948020.1,TK37_RS17385
MIT1002_00437,WP_049588781.1,TK37_RS17380
MIT1002_00438,WP_049588789.1,TK37_RS17375
MIT1002_00439,WP_049588780.1,TK37_RS17370
MIT1002_00440,WP_049588779.1,TK37_RS17365
MIT1002_00441,WP_049588788.1,TK37_RS17360
MIT1002_00442,WP_014948026.1,TK37_RS17355
MIT1002_00443,WP_014948027.1,TK37_RS17350
MIT1002_00444,WP_014948028.1,TK37_RS17345
MIT1002_00445,WP_049588778.1,TK37_RS17340
MIT1002_00446,WP_049588777.1,TK37_RS17335
MIT1002_00447,WP_049588776.1,TK37_RS17330
MIT1002_00448,WP_014948032.1,TK37_RS17325
MIT1002_00449,WP_049588775.1,TK37_RS17320
MIT1002_00450,WP_014948034.1,TK37_RS17315
MIT1002_00451,WP_014948035.1,TK37_RS17310
MIT1002_00452,WP_049588774.1,TK37_RS17305
MIT1002_00453,WP_049588773.1,TK37_RS17300
MIT1002_00454,WP_049588772.1,TK37_RS17295
MIT1002_00455,WP_049588787.1,TK37_RS17290
MIT1002_00456,WP_049588771.1,TK37_RS17285
MIT1002_00457,WP_039225087.1,TK37_RS17280
MIT1002_00458,WP_156080633.1,
MIT1002_00769,WP_156080633.1,
MIT1002_00459,WP_049589213.1,TK37_RS20440
MIT1002_03177,WP_049589213.1,TK37_RS20440
MIT1002_03455,WP_049589213.1,TK37_RS20440
MIT1002_00460,WP_231514240.1,
MIT1002_00461,WP_049588336.1,TK37_RS14370
MIT1002_00462,WP_014978132.1,TK37_RS20940
MIT1002_00463,WP_049588335.1,TK37_RS14360
MIT1002_00464,WP_156080634.1,TK37_RS21385
MIT1002_00465,WP_049588333.1,TK37_RS14355
MIT1002_00466,WP_049588331.1,TK37_RS14350
MIT1002_00467,WP_014948049.1,TK37_RS14345
MIT1002_00468,WP_049588329.1,TK37_RS14340
MIT1002_00469,WP_014948051.1,TK37_RS14335
MIT1002_00470,WP_049588328.1,TK37_RS14330
MIT1002_00471,WP_049588327.1,TK37_RS14325
MIT1002_00472,WP_014948054.1,TK37_RS14320
MIT1002_00473,WP_049588326.1,TK37_RS14315
MIT1002_00474,WP_014948056.1,TK37_RS14310
MIT1002_00475,WP_049588324.1,TK37_RS14305
MIT1002_00476,WP_039225068.1,TK37_RS14300
MIT1002_00477,WP_049588337.1,TK37_RS14295
MIT1002_00478,WP_014975497.1,TK37_RS14290
MIT1002_00479,WP_039231048.1,TK37_RS14285
MIT1002_00480,WP_014948062.1,TK37_RS14280
MIT1002_00481,WP_231514241.1,
MIT1002_00482,WP_049588321.1,TK37_RS14270
MIT1002_00483,WP_049588319.1,TK37_RS14265
MIT1002_00484,WP_049588318.1,TK37_RS14260
MIT1002_00485,WP_049588317.1,TK37_RS14255
MIT1002_00486,WP_014948068.1,TK37_RS14250
MIT1002_00487,WP_014948069.1,TK37_RS14245
MIT1002_00488,WP_014948070.1,TK37_RS14240
MIT1002_00489,WP_014948071.1,TK37_RS14235
MIT1002_00490,WP_049588315.1,TK37_RS14230
MIT1002_00491,WP_014948073.1,TK37_RS14225
MIT1002_00492,WP_049588313.1,TK37_RS14220
MIT1002_00493,WP_014948075.1,TK37_RS14215
MIT1002_00494,WP_014948076.1,TK37_RS14210
MIT1002_00495,WP_039219288.1,TK37_RS14205
MIT1002_00496,WP_039219290.1,TK37_RS14200
MIT1002_00499,WP_049588312.1,TK37_RS14185
MIT1002_00500,WP_049588311.1,TK37_RS14180
MIT1002_00501,WP_014975511.1,TK37_RS14175
MIT1002_00502,WP_039225146.1,
MIT1002_00503,WP_049588309.1,TK37_RS14165
MIT1002_00504,WP_014975513.1,TK37_RS14160
MIT1002_00505,WP_049588307.1,TK37_RS14155
MIT1002_00506,WP_230633705.1,
MIT1002_00507,WP_014948087.1,TK37_RS14145
MIT1002_00508,WP_014948088.1,TK37_RS14140
MIT1002_00509,WP_014948089.1,TK37_RS14135
MIT1002_00510,WP_039225048.1,TK37_RS14130
MIT1002_00511,WP_049588304.1,TK37_RS14125
MIT1002_00512,WP_039225046.1,TK37_RS14120
MIT1002_00514,WP_049588338.1,TK37_RS14380
MIT1002_00515,WP_014975523.1,TK37_RS14385
MIT1002_00516,WP_012517074.1,TK37_RS14390
MIT1002_00517,WP_014948094.1,TK37_RS14395
MIT1002_00518,WP_049588340.1,TK37_RS14400
MIT1002_00519,WP_049588341.1,TK37_RS14405
MIT1002_00520,WP_049588342.1,TK37_RS14410
MIT1002_00521,WP_014948098.1,TK37_RS14415
MIT1002_00522,WP_049588345.1,TK37_RS14420
MIT1002_00524,WP_014948100.1,TK37_RS14430
MIT1002_00525,WP_014948101.1,TK37_RS14435
MIT1002_00526,WP_049588348.1,TK37_RS14440
MIT1002_00527,WP_049588350.1,TK37_RS14445
MIT1002_00528,WP_049588351.1,TK37_RS14450
MIT1002_00529,WP_014948105.1,TK37_RS14455
MIT1002_00530,WP_014948106.1,TK37_RS14460
MIT1002_00531,WP_049588353.1,TK37_RS14465
MIT1002_00532,WP_014948108.1,TK37_RS14470
MIT1002_00533,WP_014948109.1,TK37_RS14475
MIT1002_00534,WP_049588355.1,TK37_RS14480
MIT1002_00535,WP_049588357.1,TK37_RS14485
MIT1002_00536,WP_264353768.1,
MIT1002_00537,WP_049588389.1,TK37_RS14495
MIT1002_00538,WP_049588360.1,TK37_RS14500
MIT1002_00539,WP_049588361.1,TK37_RS14505
MIT1002_00540,WP_049588363.1,TK37_RS14510
MIT1002_00541,WP_049588365.1,TK37_RS14515
MIT1002_00542,WP_049588367.1,TK37_RS14520
MIT1002_00543,WP_080986441.1,TK37_RS14525
MIT1002_00544,WP_049588368.1,TK37_RS14530
MIT1002_00545,WP_049588369.1,TK37_RS14535
MIT1002_00546,WP_014948122.1,TK37_RS14540
MIT1002_00547,WP_039225021.1,TK37_RS14545
MIT1002_00548,WP_049588371.1,TK37_RS14550
MIT1002_00549,WP_014975544.1,TK37_RS14555
MIT1002_00550,WP_049588373.1,TK37_RS14560
MIT1002_00551,WP_049588374.1,TK37_RS14565
